data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2021-11-17,84,084001,Agrigento,Agrigento,26.76,15
2021-11-17,84,084002,Agrigento,Alessandria della Rocca,0.00,0
2021-11-17,84,084003,Agrigento,Aragona,11.10,1
2021-11-17,84,084004,Agrigento,Bivona,0.00,0
2021-11-17,84,084005,Agrigento,Burgio,38.88,1
2021-11-17,84,084006,Agrigento,Calamonaci,0.00,0
2021-11-17,84,084007,Agrigento,Caltabellotta,0.00,0
2021-11-17,84,084008,Agrigento,Camastra,459.18,9
2021-11-17,84,084009,Agrigento,Cammarata,16.72,1
2021-11-17,84,084010,Agrigento,Campobello di Licata,21.48,2
2021-11-17,84,084011,Agrigento,Canicattì,111.46,39
2021-11-17,84,084012,Agrigento,Casteltermini,39.85,3
2021-11-17,84,084013,Agrigento,Castrofilippo,0.00,0
2021-11-17,84,084014,Agrigento,Cattolica Eraclea,88.31,3
2021-11-17,84,084015,Agrigento,Cianciana,0.00,0
2021-11-17,84,084016,Agrigento,Comitini,0.00,0
2021-11-17,84,084017,Agrigento,Favara,18.49,6
2021-11-17,84,084018,Agrigento,Grotte,130.79,7
2021-11-17,84,084019,Agrigento,Joppolo Giancaxio,0.00,0
2021-11-17,84,084020,Agrigento,Lampedusa e Linosa,0.00,0
2021-11-17,84,084021,Agrigento,Licata,125.04,44
2021-11-17,84,084022,Agrigento,Lucca Sicula,0.00,0
2021-11-17,84,084023,Agrigento,Menfi,8.33,1
2021-11-17,84,084024,Agrigento,Montallegro,0.00,0
2021-11-17,84,084025,Agrigento,Montevago,36.00,1
2021-11-17,84,084026,Agrigento,Naro,377.36,27
2021-11-17,84,084027,Agrigento,Palma di Montechiaro,4.68,1
2021-11-17,84,084028,Agrigento,Porto Empedocle,6.32,1
2021-11-17,84,084029,Agrigento,Racalmuto,38.99,3
2021-11-17,84,084030,Agrigento,Raffadali,129.36,16
2021-11-17,84,084031,Agrigento,Ravanusa,9.21,1
2021-11-17,84,084032,Agrigento,Realmonte,182.48,8
2021-11-17,84,084033,Agrigento,Ribera,11.14,2
2021-11-17,84,084034,Agrigento,Sambuca di Sicilia,288.55,16
2021-11-17,84,084035,Agrigento,San Biagio Platani,0.00,0
2021-11-17,84,084036,Agrigento,San Giovanni Gemini,0.00,0
2021-11-17,84,084039,Agrigento,Sant'Angelo Muxaro,167.93,2
2021-11-17,84,084037,Agrigento,Santa Elisabetta,0.00,0
2021-11-17,84,084038,Agrigento,Santa Margherita di Belice,0.00,0
2021-11-17,84,084040,Agrigento,Santo Stefano Quisquina,0.00,0
2021-11-17,84,084041,Agrigento,Sciacca,38.38,15
2021-11-17,84,084042,Agrigento,Siculiana,0.00,0
2021-11-17,84,084043,Agrigento,Villafranca Sicula,0.00,0
2021-11-17,85,085001,Caltanissetta,Acquaviva Platani,1929.63,17
2021-11-17,85,085002,Caltanissetta,Bompensiere,0.00,0
2021-11-17,85,085003,Caltanissetta,Butera,23.34,1
2021-11-17,85,085004,Caltanissetta,Caltanissetta,15.15,9
2021-11-17,85,085005,Caltanissetta,Campofranco,71.92,2
2021-11-17,85,085006,Caltanissetta,Delia,0.00,0
2021-11-17,85,085007,Caltanissetta,Gela,20.97,15
2021-11-17,85,085008,Caltanissetta,Marianopoli,0.00,0
2021-11-17,85,085009,Caltanissetta,Mazzarino,8.94,1
2021-11-17,85,085010,Caltanissetta,Milena,0.00,0
2021-11-17,85,085011,Caltanissetta,Montedoro,0.00,0
2021-11-17,85,085012,Caltanissetta,Mussomeli,98.90,10
2021-11-17,85,085013,Caltanissetta,Niscemi,160.14,41
2021-11-17,85,085014,Caltanissetta,Resuttano,0.00,0
2021-11-17,85,085015,Caltanissetta,Riesi,211.90,23
2021-11-17,85,085016,Caltanissetta,San Cataldo,52.85,11
2021-11-17,85,085017,Caltanissetta,Santa Caterina Villarmosa,61.17,3
2021-11-17,85,085018,Caltanissetta,Serradifalco,0.00,0
2021-11-17,85,085019,Caltanissetta,Sommatino,15.22,1
2021-11-17,85,085020,Caltanissetta,Sutera,0.00,0
2021-11-17,85,085021,Caltanissetta,Vallelunga Pratameno,0.00,0
2021-11-17,85,085022,Caltanissetta,Villalba,604.43,9
2021-11-17,87,087001,Catania,Aci Bonaccorsi,533.71,19
2021-11-17,87,087002,Catania,Aci Castello,130.55,23
2021-11-17,87,087003,Catania,Aci Catena,166.55,46
2021-11-17,87,087005,Catania,Aci Sant'Antonio,156.58,28
2021-11-17,87,087004,Catania,Acireale,118.24,60
2021-11-17,87,087006,Catania,Adrano,50.31,17
2021-11-17,87,087007,Catania,Belpasso,170.92,47
2021-11-17,87,087008,Catania,Biancavilla,30.52,7
2021-11-17,87,087009,Catania,Bronte,86.82,16
2021-11-17,87,087010,Catania,Calatabiano,19.43,1
2021-11-17,87,087011,Catania,Caltagirone,30.76,11
2021-11-17,87,087012,Catania,Camporotondo Etneo,117.53,6
2021-11-17,87,087013,Catania,Castel di Iudica,91.47,4
2021-11-17,87,087014,Catania,Castiglione di Sicilia,0.00,0
2021-11-17,87,087015,Catania,Catania,83.93,247
2021-11-17,87,087016,Catania,Fiumefreddo di Sicilia,98.70,9
2021-11-17,87,087017,Catania,Giarre,71.46,19
2021-11-17,87,087018,Catania,Grammichele,39.15,5
2021-11-17,87,087019,Catania,Gravina di Catania,83.61,21
2021-11-17,87,087020,Catania,Licodia Eubea,67.52,2
2021-11-17,87,087021,Catania,Linguaglossa,78.52,4
2021-11-17,87,087022,Catania,Maletto,0.00,0
2021-11-17,87,087057,Catania,Maniace,0.00,0
2021-11-17,87,087023,Catania,Mascali,35.98,5
2021-11-17,87,087024,Catania,Mascalucia,203.76,63
2021-11-17,87,087056,Catania,Mazzarrone,0.00,0
2021-11-17,87,087025,Catania,Militello in Val di Catania,43.39,3
2021-11-17,87,087026,Catania,Milo,96.53,1
2021-11-17,87,087027,Catania,Mineo,43.26,2
2021-11-17,87,087028,Catania,Mirabella Imbaccari,233.32,10
2021-11-17,87,087029,Catania,Misterbianco,64.92,32
2021-11-17,87,087030,Catania,Motta Sant'Anastasia,196.93,24
2021-11-17,87,087031,Catania,Nicolosi,282.90,21
2021-11-17,87,087032,Catania,Palagonia,37.31,6
2021-11-17,87,087033,Catania,Paternò,181.40,83
2021-11-17,87,087034,Catania,Pedara,170.79,25
2021-11-17,87,087035,Catania,Piedimonte Etneo,0.00,0
2021-11-17,87,087036,Catania,Raddusa,34.35,1
2021-11-17,87,087058,Catania,Ragalna,48.95,2
2021-11-17,87,087037,Catania,Ramacca,67.32,7
2021-11-17,87,087038,Catania,Randazzo,0.00,0
2021-11-17,87,087039,Catania,Riposto,92.85,13
2021-11-17,87,087040,Catania,San Cono,0.00,0
2021-11-17,87,087041,Catania,San Giovanni la Punta,179.46,41
2021-11-17,87,087042,Catania,San Gregorio di Catania,96.81,11
2021-11-17,87,087043,Catania,San Michele di Ganzaria,0.00,0
2021-11-17,87,087044,Catania,San Pietro Clarenza,112.07,9
2021-11-17,87,087045,Catania,Sant'Agata li Battiati,161.59,15
2021-11-17,87,087046,Catania,Sant'Alfio,195.82,3
2021-11-17,87,087047,Catania,Santa Maria di Licodia,40.50,3
2021-11-17,87,087048,Catania,Santa Venerina,107.64,9
2021-11-17,87,087049,Catania,Scordia,338.80,55
2021-11-17,87,087050,Catania,Trecastagni,206.65,23
2021-11-17,87,087051,Catania,Tremestieri Etneo,80.96,16
2021-11-17,87,087052,Catania,Valverde,51.18,4
2021-11-17,87,087053,Catania,Viagrande,290.56,25
2021-11-17,87,087054,Catania,Vizzini,17.23,1
2021-11-17,87,087055,Catania,Zafferana Etnea,158.75,15
2021-11-17,86,086001,Enna,Agira,25.64,2
2021-11-17,86,086002,Enna,Aidone,22.29,1
2021-11-17,86,086003,Enna,Assoro,0.00,0
2021-11-17,86,086004,Enna,Barrafranca,0.00,0
2021-11-17,86,086005,Enna,Calascibetta,240.50,10
2021-11-17,86,086006,Enna,Catenanuova,0.00,0
2021-11-17,86,086007,Enna,Centuripe,0.00,0
2021-11-17,86,086008,Enna,Cerami,267.95,5
2021-11-17,86,086009,Enna,Enna,57.63,15
2021-11-17,86,086010,Enna,Gagliano Castelferrato,0.00,0
2021-11-17,86,086011,Enna,Leonforte,15.77,2
2021-11-17,86,086012,Enna,Nicosia,15.32,2
