data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-07-27,84,084001,Agrigento,Agrigento,1245.60,693
2022-07-27,84,084002,Agrigento,Alessandria della Rocca,480.00,12
2022-07-27,84,084003,Agrigento,Aragona,1006.52,88
2022-07-27,84,084004,Agrigento,Bivona,309.98,10
2022-07-27,84,084005,Agrigento,Burgio,359.42,9
2022-07-27,84,084006,Agrigento,Calamonaci,1023.02,12
2022-07-27,84,084007,Agrigento,Caltabellotta,496.74,16
2022-07-27,84,084008,Agrigento,Camastra,992.17,19
2022-07-27,84,084009,Agrigento,Cammarata,852.37,50
2022-07-27,84,084010,Agrigento,Campobello di Licata,714.84,65
2022-07-27,84,084011,Agrigento,Canicattì,928.84,319
2022-07-27,84,084012,Agrigento,Casteltermini,585.35,43
2022-07-27,84,084013,Agrigento,Castrofilippo,577.59,15
2022-07-27,84,084014,Agrigento,Cattolica Eraclea,544.30,18
2022-07-27,84,084015,Agrigento,Cianciana,1032.59,32
2022-07-27,84,084016,Agrigento,Comitini,1240.14,11
2022-07-27,84,084017,Agrigento,Favara,1297.43,410
2022-07-27,84,084018,Agrigento,Grotte,1129.62,59
2022-07-27,84,084019,Agrigento,Joppolo Giancaxio,1790.76,19
2022-07-27,84,084020,Agrigento,Lampedusa e Linosa,613.21,39
2022-07-27,84,084021,Agrigento,Licata,1033.75,355
2022-07-27,84,084022,Agrigento,Lucca Sicula,636.21,11
2022-07-27,84,084023,Agrigento,Menfi,919.38,108
2022-07-27,84,084024,Agrigento,Montallegro,1013.09,24
2022-07-27,84,084025,Agrigento,Montevago,552.89,15
2022-07-27,84,084026,Agrigento,Naro,630.64,44
2022-07-27,84,084027,Agrigento,Palma di Montechiaro,1058.77,225
2022-07-27,84,084028,Agrigento,Porto Empedocle,1168.80,181
2022-07-27,84,084029,Agrigento,Racalmuto,1251.33,94
2022-07-27,84,084030,Agrigento,Raffadali,1243.82,151
2022-07-27,84,084031,Agrigento,Ravanusa,487.90,51
2022-07-27,84,084032,Agrigento,Realmonte,892.24,39
2022-07-27,84,084033,Agrigento,Ribera,520.40,93
2022-07-27,84,084034,Agrigento,Sambuca di Sicilia,259.98,14
2022-07-27,84,084035,Agrigento,San Biagio Platani,2362.75,68
2022-07-27,84,084036,Agrigento,San Giovanni Gemini,916.09,69
2022-07-27,84,084039,Agrigento,Sant'Angelo Muxaro,1557.09,18
2022-07-27,84,084037,Agrigento,Santa Elisabetta,1591.02,34
2022-07-27,84,084038,Agrigento,Santa Margherita di Belice,433.04,26
2022-07-27,84,084040,Agrigento,Santo Stefano Quisquina,700.82,29
2022-07-27,84,084041,Agrigento,Sciacca,874.34,342
2022-07-27,84,084042,Agrigento,Siculiana,1275.13,52
2022-07-27,84,084043,Agrigento,Villafranca Sicula,819.67,11
2022-07-27,85,085001,Caltanissetta,Acquaviva Platani,462.96,4
2022-07-27,85,085002,Caltanissetta,Bompensiere,1568.63,8
2022-07-27,85,085003,Caltanissetta,Butera,1008.89,42
2022-07-27,85,085004,Caltanissetta,Caltanissetta,844.86,499
2022-07-27,85,085005,Caltanissetta,Campofranco,738.55,20
2022-07-27,85,085006,Caltanissetta,Delia,382.85,15
2022-07-27,85,085007,Caltanissetta,Gela,836.73,600
2022-07-27,85,085008,Caltanissetta,Marianopoli,551.47,9
2022-07-27,85,085009,Caltanissetta,Mazzarino,697.27,77
2022-07-27,85,085010,Caltanissetta,Milena,1400.15,38
2022-07-27,85,085011,Caltanissetta,Montedoro,861.45,12
2022-07-27,85,085012,Caltanissetta,Mussomeli,391.21,39
2022-07-27,85,085013,Caltanissetta,Niscemi,669.11,168
2022-07-27,85,085014,Caltanissetta,Resuttano,170.45,3
2022-07-27,85,085015,Caltanissetta,Riesi,721.61,76
2022-07-27,85,085016,Caltanissetta,San Cataldo,742.93,156
2022-07-27,85,085017,Caltanissetta,Santa Caterina Villarmosa,738.55,35
2022-07-27,85,085018,Caltanissetta,Serradifalco,1044.29,58
2022-07-27,85,085019,Caltanissetta,Sommatino,1065.00,68
2022-07-27,85,085020,Caltanissetta,Sutera,1426.17,17
2022-07-27,85,085021,Caltanissetta,Vallelunga Pratameno,443.74,14
2022-07-27,85,085022,Caltanissetta,Villalba,277.39,4
2022-07-27,87,087001,Catania,Aci Bonaccorsi,744.99,26
2022-07-27,87,087002,Catania,Aci Castello,631.64,113
2022-07-27,87,087003,Catania,Aci Catena,934.81,261
2022-07-27,87,087005,Catania,Aci Sant'Antonio,940.44,168
2022-07-27,87,087004,Catania,Acireale,850.90,429
2022-07-27,87,087006,Catania,Adrano,385.24,130
2022-07-27,87,087007,Catania,Belpasso,1057.78,292
2022-07-27,87,087008,Catania,Biancavilla,595.06,136
2022-07-27,87,087009,Catania,Bronte,828.30,151
2022-07-27,87,087010,Catania,Calatabiano,897.39,46
2022-07-27,87,087011,Catania,Caltagirone,1122.88,403
2022-07-27,87,087012,Catania,Camporotondo Etneo,1102.09,57
2022-07-27,87,087013,Catania,Castel di Iudica,858.07,37
2022-07-27,87,087014,Catania,Castiglione di Sicilia,721.40,21
2022-07-27,87,087015,Catania,Catania,867.18,2587
2022-07-27,87,087016,Catania,Fiumefreddo di Sicilia,1386.89,125
2022-07-27,87,087017,Catania,Giarre,1129.39,298
2022-07-27,87,087018,Catania,Grammichele,1078.73,134
2022-07-27,87,087019,Catania,Gravina di Catania,901.33,225
2022-07-27,87,087020,Catania,Licodia Eubea,544.86,15
2022-07-27,87,087021,Catania,Linguaglossa,513.02,26
2022-07-27,87,087022,Catania,Maletto,280.66,10
2022-07-27,87,087057,Catania,Maniace,293.10,11
2022-07-27,87,087023,Catania,Mascali,1081.50,153
2022-07-27,87,087024,Catania,Mascalucia,803.00,255
2022-07-27,87,087056,Catania,Mazzarrone,1041.40,41
2022-07-27,87,087025,Catania,Militello in Val di Catania,564.80,38
2022-07-27,87,087026,Catania,Milo,868.73,9
2022-07-27,87,087027,Catania,Mineo,1052.20,51
2022-07-27,87,087028,Catania,Mirabella Imbaccari,166.83,7
2022-07-27,87,087029,Catania,Misterbianco,854.79,417
2022-07-27,87,087030,Catania,Motta Sant'Anastasia,1165.89,140
2022-07-27,87,087031,Catania,Nicolosi,1064.11,81
2022-07-27,87,087032,Catania,Palagonia,766.82,120
2022-07-27,87,087033,Catania,Paternò,947.42,427
2022-07-27,87,087034,Catania,Pedara,709.12,105
2022-07-27,87,087035,Catania,Piedimonte Etneo,824.74,32
2022-07-27,87,087036,Catania,Raddusa,178.19,5
2022-07-27,87,087058,Catania,Ragalna,844.19,35
2022-07-27,87,087037,Catania,Ramacca,837.39,86
2022-07-27,87,087038,Catania,Randazzo,446.99,46
2022-07-27,87,087039,Catania,Riposto,1201.27,167
2022-07-27,87,087040,Catania,San Cono,625.78,15
2022-07-27,87,087041,Catania,San Giovanni la Punta,784.38,184
2022-07-27,87,087042,Catania,San Gregorio di Catania,943.23,108
2022-07-27,87,087043,Catania,San Michele di Ganzaria,834.78,24
2022-07-27,87,087044,Catania,San Pietro Clarenza,522.67,43
2022-07-27,87,087045,Catania,Sant'Agata li Battiati,750.27,70
2022-07-27,87,087046,Catania,Sant'Alfio,864.36,13
2022-07-27,87,087047,Catania,Santa Maria di Licodia,528.03,39
2022-07-27,87,087048,Catania,Santa Venerina,1153.71,96
2022-07-27,87,087049,Catania,Scordia,910.89,147
2022-07-27,87,087050,Catania,Trecastagni,781.32,87
2022-07-27,87,087051,Catania,Tremestieri Etneo,818.59,161
2022-07-27,87,087052,Catania,Valverde,864.74,67
2022-07-27,87,087053,Catania,Viagrande,588.24,51
2022-07-27,87,087054,Catania,Vizzini,630.47,36
2022-07-27,87,087055,Catania,Zafferana Etnea,733.23,68
2022-07-27,86,086001,Enna,Agira,872.40,67
2022-07-27,86,086002,Enna,Aidone,260.91,11
2022-07-27,86,086003,Enna,Assoro,868.85,42
2022-07-27,86,086004,Enna,Barrafranca,479.52,57
2022-07-27,86,086005,Enna,Calascibetta,606.35,25
2022-07-27,86,086006,Enna,Catenanuova,377.78,17
2022-07-27,86,086007,Enna,Centuripe,784.62,40
2022-07-27,86,086008,Enna,Cerami,489.40,9
2022-07-27,86,086009,Enna,Enna,574.20,148
2022-07-27,86,086010,Enna,Gagliano Castelferrato,329.93,11
2022-07-27,86,086011,Enna,Leonforte,665.28,83
2022-07-27,86,086012,Enna,Nicosia,553.87,71
2022-07-27,86,086013,Enna,Nissoria,283.59,8
2022-07-27,86,086014,Enna,Piazza Armerina,361.46,75
2022-07-27,86,086015,Enna,Pietraperzia,942.06,60
2022-07-27,86,086016,Enna,Regalbuto,708.28,48
2022-07-27,86,086017,Enna,Sperlinga,430.42,3
2022-07-27,86,086018,Enna,Troina,1073.26,92
2022-07-27,86,086019,Enna,Valguarnera Caropepe,626.87,44
2022-07-27,86,086020,Enna,Villarosa,705.03,31
2022-07-27,83,083107,Messina,Acquedolci,1097.49,60
2022-07-27,83,083001,Messina,Alcara li Fusi,1328.71,23
2022-07-27,83,083002,Messina,Alì,1167.88,8
2022-07-27,83,083003,Messina,Alì Terme,1393.58,33
2022-07-27,83,083004,Messina,Antillo,476.19,4
2022-07-27,83,083005,Messina,Barcellona Pozzo di Gotto,1019.10,406
2022-07-27,83,083006,Messina,Basicò,751.88,4
2022-07-27,83,083007,Messina,Brolo,1065.50,61
2022-07-27,83,083008,Messina,Capizzi,243.65,7
2022-07-27,83,083009,Messina,Capo d'Orlando,1364.72,178
2022-07-27,83,083010,Messina,Capri Leone,1530.26,66
2022-07-27,83,083011,Messina,Caronia,815.93,25
2022-07-27,83,083012,Messina,Casalvecchio Siculo,409.28,3
2022-07-27,83,083013,Messina,Castel di Lucio,1019.54,12
2022-07-27,83,083014,Messina,Castell'Umberto,1685.99,48
2022-07-27,83,083015,Messina,Castelmola,1427.21,15
2022-07-27,83,083016,Messina,Castroreale,1970.44,44
2022-07-27,83,083017,Messina,Cesarò,321.25,7
2022-07-27,83,083018,Messina,Condrò,863.93,4
2022-07-27,83,083019,Messina,Falcone,1086.96,30
2022-07-27,83,083020,Messina,Ficarra,531.51,7
2022-07-27,83,083021,Messina,Fiumedinisi,553.80,7
