data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-05-18,84,084001,Agrigento,Agrigento,443.87,248
2022-05-18,84,084002,Agrigento,Alessandria della Rocca,155.82,4
2022-05-18,84,084003,Agrigento,Aragona,281.15,25
2022-05-18,84,084004,Agrigento,Bivona,212.25,7
2022-05-18,84,084005,Agrigento,Burgio,789.89,20
2022-05-18,84,084006,Agrigento,Calamonaci,166.25,2
2022-05-18,84,084007,Agrigento,Caltabellotta,241.69,8
2022-05-18,84,084008,Agrigento,Camastra,523.56,10
2022-05-18,84,084009,Agrigento,Cammarata,303.54,18
2022-05-18,84,084010,Agrigento,Campobello di Licata,507.56,47
2022-05-18,84,084011,Agrigento,Canicattì,354.18,122
2022-05-18,84,084012,Agrigento,Casteltermini,441.59,33
2022-05-18,84,084013,Agrigento,Castrofilippo,151.17,4
2022-05-18,84,084014,Agrigento,Cattolica Eraclea,356.72,12
2022-05-18,84,084015,Agrigento,Cianciana,503.62,16
2022-05-18,84,084016,Agrigento,Comitini,338.22,3
2022-05-18,84,084017,Agrigento,Favara,688.22,219
2022-05-18,84,084018,Agrigento,Grotte,490.29,26
2022-05-18,84,084019,Agrigento,Joppolo Giancaxio,0.00,0
2022-05-18,84,084020,Agrigento,Lampedusa e Linosa,489.19,31
2022-05-18,84,084021,Agrigento,Licata,305.73,106
2022-05-18,84,084022,Agrigento,Lucca Sicula,924.86,16
2022-05-18,84,084023,Agrigento,Menfi,423.30,50
2022-05-18,84,084024,Agrigento,Montallegro,922.43,22
2022-05-18,84,084025,Agrigento,Montevago,182.88,5
2022-05-18,84,084026,Agrigento,Naro,239.10,17
2022-05-18,84,084027,Agrigento,Palma di Montechiaro,74.64,16
2022-05-18,84,084028,Agrigento,Porto Empedocle,217.64,34
2022-05-18,84,084029,Agrigento,Racalmuto,263.05,20
2022-05-18,84,084030,Agrigento,Raffadali,399.67,49
2022-05-18,84,084031,Agrigento,Ravanusa,255.34,27
2022-05-18,84,084032,Agrigento,Realmonte,296.87,13
2022-05-18,84,084033,Agrigento,Ribera,376.56,68
2022-05-18,84,084034,Agrigento,Sambuca di Sicilia,273.47,15
2022-05-18,84,084035,Agrigento,San Biagio Platani,746.78,22
2022-05-18,84,084036,Agrigento,San Giovanni Gemini,223.98,17
2022-05-18,84,084039,Agrigento,Sant'Angelo Muxaro,422.30,5
2022-05-18,84,084037,Agrigento,Santa Elisabetta,415.51,9
2022-05-18,84,084038,Agrigento,Santa Margherita di Belice,212.98,13
2022-05-18,84,084040,Agrigento,Santo Stefano Quisquina,403.23,17
2022-05-18,84,084041,Agrigento,Sciacca,557.96,219
2022-05-18,84,084042,Agrigento,Siculiana,1627.96,68
2022-05-18,84,084043,Agrigento,Villafranca Sicula,294.55,4
2022-05-18,85,085001,Caltanissetta,Acquaviva Platani,673.40,6
2022-05-18,85,085002,Caltanissetta,Bompensiere,383.14,2
2022-05-18,85,085003,Caltanissetta,Butera,1157.30,49
2022-05-18,85,085004,Caltanissetta,Caltanissetta,511.16,306
2022-05-18,85,085005,Caltanissetta,Campofranco,761.42,21
2022-05-18,85,085006,Caltanissetta,Delia,328.45,13
2022-05-18,85,085007,Caltanissetta,Gela,416.60,302
2022-05-18,85,085008,Caltanissetta,Marianopoli,718.99,12
2022-05-18,85,085009,Caltanissetta,Mazzarino,447.19,50
2022-05-18,85,085010,Caltanissetta,Milena,792.22,22
2022-05-18,85,085011,Caltanissetta,Montedoro,564.17,8
2022-05-18,85,085012,Caltanissetta,Mussomeli,387.71,39
2022-05-18,85,085013,Caltanissetta,Niscemi,504.37,127
2022-05-18,85,085014,Caltanissetta,Resuttano,165.84,3
2022-05-18,85,085015,Caltanissetta,Riesi,168.27,18
2022-05-18,85,085016,Caltanissetta,San Cataldo,428.13,91
2022-05-18,85,085017,Caltanissetta,Santa Caterina Villarmosa,288.84,14
2022-05-18,85,085018,Caltanissetta,Serradifalco,563.48,32
2022-05-18,85,085019,Caltanissetta,Sommatino,385.39,25
2022-05-18,85,085020,Caltanissetta,Sutera,486.22,6
2022-05-18,85,085021,Caltanissetta,Vallelunga Pratameno,343.96,11
2022-05-18,85,085022,Caltanissetta,Villalba,0.00,0
2022-05-18,87,087001,Catania,Aci Bonaccorsi,257.51,9
2022-05-18,87,087002,Catania,Aci Castello,316.90,57
2022-05-18,87,087003,Catania,Aci Catena,312.50,88
2022-05-18,87,087005,Catania,Aci Sant'Antonio,352.61,63
2022-05-18,87,087004,Catania,Acireale,296.28,150
2022-05-18,87,087006,Catania,Adrano,112.01,38
2022-05-18,87,087007,Catania,Belpasso,388.44,107
2022-05-18,87,087008,Catania,Biancavilla,239.27,55
2022-05-18,87,087009,Catania,Bronte,321.93,59
2022-05-18,87,087010,Catania,Calatabiano,233.78,12
2022-05-18,87,087011,Catania,Caltagirone,549.10,199
2022-05-18,87,087012,Catania,Camporotondo Etneo,388.42,20
2022-05-18,87,087013,Catania,Castel di Iudica,413.60,18
2022-05-18,87,087014,Catania,Castiglione di Sicilia,336.81,10
2022-05-18,87,087015,Catania,Catania,340.26,1022
2022-05-18,87,087016,Catania,Fiumefreddo di Sicilia,418.23,38
2022-05-18,87,087017,Catania,Giarre,539.93,143
2022-05-18,87,087018,Catania,Grammichele,461.75,58
2022-05-18,87,087019,Catania,Gravina di Catania,395.51,99
2022-05-18,87,087020,Catania,Licodia Eubea,71.58,2
2022-05-18,87,087021,Catania,Linguaglossa,313.85,16
2022-05-18,87,087022,Catania,Maletto,55.36,2
2022-05-18,87,087057,Catania,Maniace,160.47,6
2022-05-18,87,087023,Catania,Mascali,397.39,56
2022-05-18,87,087024,Catania,Mascalucia,474.26,150
2022-05-18,87,087056,Catania,Mazzarrone,178.53,7
2022-05-18,87,087025,Catania,Militello in Val di Catania,58.89,4
2022-05-18,87,087026,Catania,Milo,674.37,7
2022-05-18,87,087027,Catania,Mineo,380.69,19
2022-05-18,87,087028,Catania,Mirabella Imbaccari,46.71,2
2022-05-18,87,087029,Catania,Misterbianco,310.57,152
2022-05-18,87,087030,Catania,Motta Sant'Anastasia,408.78,49
2022-05-18,87,087031,Catania,Nicolosi,425.02,32
2022-05-18,87,087032,Catania,Palagonia,50.62,8
2022-05-18,87,087033,Catania,Paternò,227.97,104
2022-05-18,87,087034,Catania,Pedara,285.44,42
2022-05-18,87,087035,Catania,Piedimonte Etneo,152.79,6
2022-05-18,87,087036,Catania,Raddusa,278.26,8
2022-05-18,87,087058,Catania,Ragalna,416.36,17
2022-05-18,87,087037,Catania,Ramacca,125.28,13
2022-05-18,87,087038,Catania,Randazzo,174.35,18
2022-05-18,87,087039,Catania,Riposto,357.94,50
2022-05-18,87,087040,Catania,San Cono,82.27,2
2022-05-18,87,087041,Catania,San Giovanni la Punta,321.39,75
2022-05-18,87,087042,Catania,San Gregorio di Catania,252.97,29
2022-05-18,87,087043,Catania,San Michele di Ganzaria,269.81,8
2022-05-18,87,087044,Catania,San Pietro Clarenza,406.25,33
2022-05-18,87,087045,Catania,Sant'Agata li Battiati,418.54,39
2022-05-18,87,087046,Catania,Sant'Alfio,1116.95,17
2022-05-18,87,087047,Catania,Santa Maria di Licodia,256.93,19
2022-05-18,87,087048,Catania,Santa Venerina,445.62,37
2022-05-18,87,087049,Catania,Scordia,116.59,19
2022-05-18,87,087050,Catania,Trecastagni,406.39,45
2022-05-18,87,087051,Catania,Tremestieri Etneo,432.33,86
2022-05-18,87,087052,Catania,Valverde,488.75,38
2022-05-18,87,087053,Catania,Viagrande,298.34,26
2022-05-18,87,087054,Catania,Vizzini,641.03,37
2022-05-18,87,087055,Catania,Zafferana Etnea,333.98,31
2022-05-18,86,086001,Enna,Agira,90.25,7
2022-05-18,86,086002,Enna,Aidone,227.84,10
2022-05-18,86,086003,Enna,Assoro,388.39,19
2022-05-18,86,086004,Enna,Barrafranca,290.14,35
2022-05-18,86,086005,Enna,Calascibetta,239.87,10
2022-05-18,86,086006,Enna,Catenanuova,154.90,7
2022-05-18,86,086007,Enna,Centuripe,154.68,8
2022-05-18,86,086008,Enna,Cerami,53.79,1
2022-05-18,86,086009,Enna,Enna,303.41,79
2022-05-18,86,086010,Enna,Gagliano Castelferrato,0.00,0
