data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-08-31,84,084001,Agrigento,Agrigento,287.58,160
2022-08-31,84,084002,Agrigento,Alessandria della Rocca,0.00,0
2022-08-31,84,084003,Agrigento,Aragona,102.94,9
2022-08-31,84,084004,Agrigento,Bivona,31.00,1
2022-08-31,84,084005,Agrigento,Burgio,279.55,7
2022-08-31,84,084006,Agrigento,Calamonaci,85.25,1
2022-08-31,84,084007,Agrigento,Caltabellotta,217.32,7
2022-08-31,84,084008,Agrigento,Camastra,365.54,7
2022-08-31,84,084009,Agrigento,Cammarata,85.24,5
2022-08-31,84,084010,Agrigento,Campobello di Licata,340.92,31
2022-08-31,84,084011,Agrigento,Canicattì,192.17,66
2022-08-31,84,084012,Agrigento,Casteltermini,68.06,5
2022-08-31,84,084013,Agrigento,Castrofilippo,115.52,3
2022-08-31,84,084014,Agrigento,Cattolica Eraclea,393.11,13
2022-08-31,84,084015,Agrigento,Cianciana,419.49,13
2022-08-31,84,084016,Agrigento,Comitini,676.44,6
2022-08-31,84,084017,Agrigento,Favara,208.85,66
2022-08-31,84,084018,Agrigento,Grotte,153.17,8
2022-08-31,84,084019,Agrigento,Joppolo Giancaxio,94.25,1
2022-08-31,84,084020,Agrigento,Lampedusa e Linosa,62.89,4
2022-08-31,84,084021,Agrigento,Licata,218.40,75
2022-08-31,84,084022,Agrigento,Lucca Sicula,115.67,2
2022-08-31,84,084023,Agrigento,Menfi,314.97,37
2022-08-31,84,084024,Agrigento,Montallegro,464.33,11
2022-08-31,84,084025,Agrigento,Montevago,221.16,6
2022-08-31,84,084026,Agrigento,Naro,71.66,5
2022-08-31,84,084027,Agrigento,Palma di Montechiaro,174.11,37
2022-08-31,84,084028,Agrigento,Porto Empedocle,135.61,21
2022-08-31,84,084029,Agrigento,Racalmuto,93.18,7
2022-08-31,84,084030,Agrigento,Raffadali,222.41,27
2022-08-31,84,084031,Agrigento,Ravanusa,344.40,36
2022-08-31,84,084032,Agrigento,Realmonte,457.56,20
2022-08-31,84,084033,Agrigento,Ribera,72.74,13
2022-08-31,84,084034,Agrigento,Sambuca di Sicilia,111.42,6
2022-08-31,84,084035,Agrigento,San Biagio Platani,590.69,17
2022-08-31,84,084036,Agrigento,San Giovanni Gemini,39.83,3
2022-08-31,84,084039,Agrigento,Sant'Angelo Muxaro,519.03,6
2022-08-31,84,084037,Agrigento,Santa Elisabetta,327.56,7
2022-08-31,84,084038,Agrigento,Santa Margherita di Belice,366.42,22
2022-08-31,84,084040,Agrigento,Santo Stefano Quisquina,386.66,16
2022-08-31,84,084041,Agrigento,Sciacca,271.00,106
2022-08-31,84,084042,Agrigento,Siculiana,196.17,8
2022-08-31,84,084043,Agrigento,Villafranca Sicula,74.52,1
2022-08-31,85,085001,Caltanissetta,Acquaviva Platani,1967.59,17
2022-08-31,85,085002,Caltanissetta,Bompensiere,1568.63,8
2022-08-31,85,085003,Caltanissetta,Butera,960.85,40
2022-08-31,85,085004,Caltanissetta,Caltanissetta,235.34,139
2022-08-31,85,085005,Caltanissetta,Campofranco,184.64,5
2022-08-31,85,085006,Caltanissetta,Delia,204.19,8
2022-08-31,85,085007,Caltanissetta,Gela,297.04,213
2022-08-31,85,085008,Caltanissetta,Marianopoli,367.65,6
2022-08-31,85,085009,Caltanissetta,Mazzarino,126.78,14
2022-08-31,85,085010,Caltanissetta,Milena,515.84,14
2022-08-31,85,085011,Caltanissetta,Montedoro,215.36,3
2022-08-31,85,085012,Caltanissetta,Mussomeli,230.72,23
2022-08-31,85,085013,Caltanissetta,Niscemi,127.45,32
2022-08-31,85,085014,Caltanissetta,Resuttano,113.64,2
2022-08-31,85,085015,Caltanissetta,Riesi,180.40,19
2022-08-31,85,085016,Caltanissetta,San Cataldo,223.83,47
2022-08-31,85,085017,Caltanissetta,Santa Caterina Villarmosa,168.81,8
2022-08-31,85,085018,Caltanissetta,Serradifalco,108.03,6
2022-08-31,85,085019,Caltanissetta,Sommatino,234.93,15
2022-08-31,85,085020,Caltanissetta,Sutera,671.14,8
