data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-09-08,84,084001,Agrigento,Agrigento,156.37,87
2022-09-08,84,084002,Agrigento,Alessandria della Rocca,160.00,4
2022-09-08,84,084003,Agrigento,Aragona,285.94,25
2022-09-08,84,084004,Agrigento,Bivona,154.99,5
2022-09-08,84,084005,Agrigento,Burgio,79.87,2
2022-09-08,84,084006,Agrigento,Calamonaci,511.51,6
2022-09-08,84,084007,Agrigento,Caltabellotta,279.42,9
2022-09-08,84,084008,Agrigento,Camastra,104.44,2
2022-09-08,84,084009,Agrigento,Cammarata,34.09,2
2022-09-08,84,084010,Agrigento,Campobello di Licata,186.96,17
2022-09-08,84,084011,Agrigento,Canicattì,165.97,57
2022-09-08,84,084012,Agrigento,Casteltermini,136.13,10
2022-09-08,84,084013,Agrigento,Castrofilippo,154.02,4
2022-09-08,84,084014,Agrigento,Cattolica Eraclea,211.67,7
2022-09-08,84,084015,Agrigento,Cianciana,32.27,1
2022-09-08,84,084016,Agrigento,Comitini,338.22,3
2022-09-08,84,084017,Agrigento,Favara,231.01,73
2022-09-08,84,084018,Agrigento,Grotte,114.88,6
2022-09-08,84,084019,Agrigento,Joppolo Giancaxio,0.00,0
2022-09-08,84,084020,Agrigento,Lampedusa e Linosa,31.45,2
2022-09-08,84,084021,Agrigento,Licata,203.84,70
2022-09-08,84,084022,Agrigento,Lucca Sicula,173.51,3
2022-09-08,84,084023,Agrigento,Menfi,289.44,34
2022-09-08,84,084024,Agrigento,Montallegro,253.27,6
2022-09-08,84,084025,Agrigento,Montevago,258.02,7
2022-09-08,84,084026,Agrigento,Naro,57.33,4
2022-09-08,84,084027,Agrigento,Palma di Montechiaro,80.00,17
2022-09-08,84,084028,Agrigento,Porto Empedocle,161.44,25
2022-09-08,84,084029,Agrigento,Racalmuto,119.81,9
2022-09-08,84,084030,Agrigento,Raffadali,370.68,45
2022-09-08,84,084031,Agrigento,Ravanusa,124.37,13
2022-09-08,84,084032,Agrigento,Realmonte,183.02,8
2022-09-08,84,084033,Agrigento,Ribera,89.53,16
2022-09-08,84,084034,Agrigento,Sambuca di Sicilia,37.14,2
2022-09-08,84,084035,Agrigento,San Biagio Platani,486.45,14
2022-09-08,84,084036,Agrigento,San Giovanni Gemini,159.32,12
2022-09-08,84,084039,Agrigento,Sant'Angelo Muxaro,259.52,3
2022-09-08,84,084037,Agrigento,Santa Elisabetta,140.38,3
2022-09-08,84,084038,Agrigento,Santa Margherita di Belice,216.52,13
2022-09-08,84,084040,Agrigento,Santo Stefano Quisquina,241.66,10
2022-09-08,84,084041,Agrigento,Sciacca,194.30,76
2022-09-08,84,084042,Agrigento,Siculiana,98.09,4
2022-09-08,84,084043,Agrigento,Villafranca Sicula,0.00,0
2022-09-08,85,085001,Caltanissetta,Acquaviva Platani,0.00,0
2022-09-08,85,085002,Caltanissetta,Bompensiere,196.08,1
2022-09-08,85,085003,Caltanissetta,Butera,528.47,22
2022-09-08,85,085004,Caltanissetta,Caltanissetta,215.02,127
2022-09-08,85,085005,Caltanissetta,Campofranco,110.78,3
2022-09-08,85,085006,Caltanissetta,Delia,255.23,10
2022-09-08,85,085007,Caltanissetta,Gela,171.53,123
2022-09-08,85,085008,Caltanissetta,Marianopoli,61.27,1
2022-09-08,85,085009,Caltanissetta,Mazzarino,63.39,7
2022-09-08,85,085010,Caltanissetta,Milena,257.92,7
2022-09-08,85,085011,Caltanissetta,Montedoro,358.94,5
2022-09-08,85,085012,Caltanissetta,Mussomeli,240.75,24
2022-09-08,85,085013,Caltanissetta,Niscemi,63.72,16
2022-09-08,85,085014,Caltanissetta,Resuttano,454.55,8
2022-09-08,85,085015,Caltanissetta,Riesi,85.45,9
2022-09-08,85,085016,Caltanissetta,San Cataldo,142.87,30
2022-09-08,85,085017,Caltanissetta,Santa Caterina Villarmosa,232.12,11
2022-09-08,85,085018,Caltanissetta,Serradifalco,162.05,9
2022-09-08,85,085019,Caltanissetta,Sommatino,93.97,6
2022-09-08,85,085020,Caltanissetta,Sutera,335.57,4
2022-09-08,85,085021,Caltanissetta,Vallelunga Pratameno,158.48,5
2022-09-08,85,085022,Caltanissetta,Villalba,69.35,1
2022-09-08,87,087001,Catania,Aci Bonaccorsi,57.31,2
2022-09-08,87,087002,Catania,Aci Castello,139.74,25
2022-09-08,87,087003,Catania,Aci Catena,164.76,46
2022-09-08,87,087005,Catania,Aci Sant'Antonio,235.11,42
2022-09-08,87,087004,Catania,Acireale,184.46,93
2022-09-08,87,087006,Catania,Adrano,53.34,18
2022-09-08,87,087007,Catania,Belpasso,155.77,43
2022-09-08,87,087008,Catania,Biancavilla,74.38,17
2022-09-08,87,087009,Catania,Bronte,164.56,30
2022-09-08,87,087010,Catania,Calatabiano,78.03,4
2022-09-08,87,087011,Catania,Caltagirone,108.67,39
2022-09-08,87,087012,Catania,Camporotondo Etneo,154.68,8
2022-09-08,87,087013,Catania,Castel di Iudica,208.72,9
2022-09-08,87,087014,Catania,Castiglione di Sicilia,103.06,3
