data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-03-09,84,084001,Agrigento,Agrigento,859.11,480
2022-03-09,84,084002,Agrigento,Alessandria della Rocca,38.96,1
2022-03-09,84,084003,Agrigento,Aragona,596.04,53
2022-03-09,84,084004,Agrigento,Bivona,394.18,13
2022-03-09,84,084005,Agrigento,Burgio,355.45,9
2022-03-09,84,084006,Agrigento,Calamonaci,0.0,0
2022-03-09,84,084007,Agrigento,Caltabellotta,181.27,6
2022-03-09,84,084008,Agrigento,Camastra,837.7,16
2022-03-09,84,084009,Agrigento,Cammarata,539.63,32
2022-03-09,84,084010,Agrigento,Campobello di Licata,1468.68,136
2022-03-09,84,084011,Agrigento,Canicattì,1646.05,567
2022-03-09,84,084012,Agrigento,Casteltermini,2087.52,156
2022-03-09,84,084013,Agrigento,Castrofilippo,340.14,9
2022-03-09,84,084014,Agrigento,Cattolica Eraclea,416.17,14
2022-03-09,84,084015,Agrigento,Cianciana,566.57,18
2022-03-09,84,084016,Agrigento,Comitini,0.0,0
2022-03-09,84,084017,Agrigento,Favara,1059.05,337
2022-03-09,84,084018,Agrigento,Grotte,1037.15,55
2022-03-09,84,084019,Agrigento,Joppolo Giancaxio,907.44,10
2022-03-09,84,084020,Agrigento,Lampedusa e Linosa,236.71,15
2022-03-09,84,084021,Agrigento,Licata,550.89,191
2022-03-09,84,084022,Agrigento,Lucca Sicula,231.21,4
2022-03-09,84,084023,Agrigento,Menfi,736.54,87
2022-03-09,84,084024,Agrigento,Montallegro,587.0,14
2022-03-09,84,084025,Agrigento,Montevago,548.65,15
2022-03-09,84,084026,Agrigento,Naro,379.75,27
2022-03-09,84,084027,Agrigento,Palma di Montechiaro,769.7,165
2022-03-09,84,084028,Agrigento,Porto Empedocle,1139.42,178
2022-03-09,84,084029,Agrigento,Racalmuto,907.54,69
2022-03-09,84,084030,Agrigento,Raffadali,1125.61,138
2022-03-09,84,084031,Agrigento,Ravanusa,1097.03,116
2022-03-09,84,084032,Agrigento,Realmonte,593.74,26
2022-03-09,84,084033,Agrigento,Ribera,393.18,71
2022-03-09,84,084034,Agrigento,Sambuca di Sicilia,91.16,5
2022-03-09,84,084035,Agrigento,San Biagio Platani,1323.83,39
2022-03-09,84,084036,Agrigento,San Giovanni Gemini,461.13,35
2022-03-09,84,084039,Agrigento,Sant'Angelo Muxaro,1097.97,13
2022-03-09,84,084037,Agrigento,Santa Elisabetta,323.18,7
2022-03-09,84,084038,Agrigento,Santa Margherita di Belice,589.78,36
2022-03-09,84,084040,Agrigento,Santo Stefano Quisquina,189.75,8
2022-03-09,84,084041,Agrigento,Sciacca,743.95,292
2022-03-09,84,084042,Agrigento,Siculiana,837.92,35
2022-03-09,84,084043,Agrigento,Villafranca Sicula,294.55,4
2022-03-09,85,085001,Caltanissetta,Acquaviva Platani,785.63,7
2022-03-09,85,085002,Caltanissetta,Bompensiere,2107.28,11
2022-03-09,85,085003,Caltanissetta,Butera,495.98,21
2022-03-09,85,085004,Caltanissetta,Caltanissetta,638.11,382
2022-03-09,85,085005,Caltanissetta,Campofranco,1124.0,31
2022-03-09,85,085006,Caltanissetta,Delia,581.1,23
2022-03-09,85,085007,Caltanissetta,Gela,667.67,484
2022-03-09,85,085008,Caltanissetta,Marianopoli,119.83,2
2022-03-09,85,085009,Caltanissetta,Mazzarino,375.64,42
2022-03-09,85,085010,Caltanissetta,Milena,1044.29,29
2022-03-09,85,085011,Caltanissetta,Montedoro,705.22,10
2022-03-09,85,085012,Caltanissetta,Mussomeli,676.01,68
2022-03-09,85,085013,Caltanissetta,Niscemi,250.2,63
2022-03-09,85,085014,Caltanissetta,Resuttano,331.67,6
2022-03-09,85,085015,Caltanissetta,Riesi,177.62,19
2022-03-09,85,085016,Caltanissetta,San Cataldo,583.39,124
2022-03-09,85,085017,Caltanissetta,Santa Caterina Villarmosa,680.83,33
2022-03-09,85,085018,Caltanissetta,Serradifalco,898.05,51
2022-03-09,85,085019,Caltanissetta,Sommatino,693.7,45
2022-03-09,85,085020,Caltanissetta,Sutera,567.26,7
2022-03-09,85,085021,Caltanissetta,Vallelunga Pratameno,343.96,11
2022-03-09,85,085022,Caltanissetta,Villalba,270.27,4
2022-03-09,87,087001,Catania,Aci Bonaccorsi,257.51,9
2022-03-09,87,087002,Catania,Aci Castello,339.13,61
2022-03-09,87,087003,Catania,Aci Catena,340.91,96
2022-03-09,87,087005,Catania,Aci Sant'Antonio,391.78,70
2022-03-09,87,087004,Catania,Acireale,286.41,145
2022-03-09,87,087006,Catania,Adrano,138.54,47
2022-03-09,87,087007,Catania,Belpasso,475.57,131
2022-03-09,87,087008,Catania,Biancavilla,522.03,120
2022-03-09,87,087009,Catania,Bronte,365.58,67
2022-03-09,87,087010,Catania,Calatabiano,584.45,30
2022-03-09,87,087011,Catania,Caltagirone,394.58,143
2022-03-09,87,087012,Catania,Camporotondo Etneo,407.85,21
2022-03-09,87,087013,Catania,Castel di Iudica,574.45,25
2022-03-09,87,087014,Catania,Castiglione di Sicilia,370.5,11
2022-03-09,87,087015,Catania,Catania,399.86,1201
2022-03-09,87,087016,Catania,Fiumefreddo di Sicilia,660.36,60
2022-03-09,87,087017,Catania,Giarre,781.57,207
2022-03-09,87,087018,Catania,Grammichele,501.55,63
2022-03-09,87,087019,Catania,Gravina di Catania,375.53,94
2022-03-09,87,087020,Catania,Licodia Eubea,930.57,26
2022-03-09,87,087021,Catania,Linguaglossa,313.85,16
2022-03-09,87,087022,Catania,Maletto,27.68,1
2022-03-09,87,087057,Catania,Maniace,133.73,5
2022-03-09,87,087023,Catania,Mascali,496.74,70
2022-03-09,87,087024,Catania,Mascalucia,426.84,135
2022-03-09,87,087056,Catania,Mazzarrone,204.03,8
2022-03-09,87,087025,Catania,Militello in Val di Catania,338.63,23
2022-03-09,87,087026,Catania,Milo,0.0,0
2022-03-09,87,087027,Catania,Mineo,921.66,46
2022-03-09,87,087028,Catania,Mirabella Imbaccari,303.6,13
2022-03-09,87,087029,Catania,Misterbianco,377.99,185
2022-03-09,87,087030,Catania,Motta Sant'Anastasia,258.61,31
2022-03-09,87,087031,Catania,Nicolosi,305.49,23
2022-03-09,87,087032,Catania,Palagonia,923.76,146
2022-03-09,87,087033,Catania,Paternò,423.05,193
2022-03-09,87,087034,Catania,Pedara,367.0,54
2022-03-09,87,087035,Catania,Piedimonte Etneo,738.48,29
2022-03-09,87,087036,Catania,Raddusa,486.96,14
2022-03-09,87,087058,Catania,Ragalna,440.85,18
2022-03-09,87,087037,Catania,Ramacca,414.38,43
2022-03-09,87,087038,Catania,Randazzo,339.02,35
2022-03-09,87,087039,Catania,Riposto,758.82,106
2022-03-09,87,087040,Catania,San Cono,452.49,11
2022-03-09,87,087041,Catania,San Giovanni la Punta,428.52,100
2022-03-09,87,087042,Catania,San Gregorio di Catania,348.92,40
2022-03-09,87,087043,Catania,San Michele di Ganzaria,1079.26,32
2022-03-09,87,087044,Catania,San Pietro Clarenza,344.7,28
2022-03-09,87,087045,Catania,Sant'Agata li Battiati,289.76,27
2022-03-09,87,087046,Catania,Sant'Alfio,197.11,3
2022-03-09,87,087047,Catania,Santa Maria di Licodia,513.86,38
2022-03-09,87,087048,Catania,Santa Venerina,361.32,30
2022-03-09,87,087049,Catania,Scordia,1073.88,175
2022-03-09,87,087050,Catania,Trecastagni,325.12,36
2022-03-09,87,087051,Catania,Tremestieri Etneo,517.8,103
2022-03-09,87,087052,Catania,Valverde,450.16,35
2022-03-09,87,087053,Catania,Viagrande,390.13,34
2022-03-09,87,087054,Catania,Vizzini,363.83,21
2022-03-09,87,087055,Catania,Zafferana Etnea,592.54,55
2022-03-09,86,086001,Enna,Agira,1237.75,96
2022-03-09,86,086002,Enna,Aidone,615.17,27
2022-03-09,86,086003,Enna,Assoro,817.66,40
2022-03-09,86,086004,Enna,Barrafranca,174.09,21
2022-03-09,86,086005,Enna,Calascibetta,1127.37,47
2022-03-09,86,086006,Enna,Catenanuova,154.9,7
2022-03-09,86,086007,Enna,Centuripe,386.7,20
2022-03-09,86,086008,Enna,Cerami,107.58,2
2022-03-09,86,086009,Enna,Enna,967.85,252
2022-03-09,86,086010,Enna,Gagliano Castelferrato,237.53,8
2022-03-09,86,086011,Enna,Leonforte,929.83,117
2022-03-09,86,086012,Enna,Nicosia,370.74,48
2022-03-09,86,086013,Enna,Nissoria,1263.6,36
2022-03-09,86,086014,Enna,Piazza Armerina,404.84,84
2022-03-09,86,086015,Enna,Pietraperzia,108.38,7
2022-03-09,86,086016,Enna,Regalbuto,380.67,26
2022-03-09,86,086017,Enna,Sperlinga,144.72,1
2022-03-09,86,086018,Enna,Troina,908.15,79
2022-03-09,86,086019,Enna,Valguarnera Caropepe,670.11,48
2022-03-09,86,086020,Enna,Villarosa,1023.13,46
2022-03-09,83,083107,Messina,Acquedolci,1042.81,57
2022-03-09,83,083001,Messina,Alcara li Fusi,2155.42,38
2022-03-09,83,083002,Messina,Alì,284.9,2
2022-03-09,83,083003,Messina,Alì Terme,756.94,18
2022-03-09,83,083004,Messina,Antillo,355.45,3
2022-03-09,83,083005,Messina,Barcellona Pozzo di Gotto,853.67,341
2022-03-09,83,083006,Messina,Basicò,0.0,0
2022-03-09,83,083007,Messina,Brolo,905.61,52
2022-03-09,83,083008,Messina,Capizzi,68.54,2
2022-03-09,83,083009,Messina,Capo d'Orlando,652.14,85
2022-03-09,83,083010,Messina,Capri Leone,1164.69,50
2022-03-09,83,083011,Messina,Caronia,871.81,27
2022-03-09,83,083012,Messina,Casalvecchio Siculo,1335.11,10
2022-03-09,83,083013,Messina,Castel di Lucio,3233.83,39
2022-03-09,83,083014,Messina,Castell'Umberto,1183.84,34
2022-03-09,83,083015,Messina,Castelmola,186.92,2
2022-03-09,83,083016,Messina,Castroreale,1286.03,29
2022-03-09,83,083017,Messina,Cesarò,180.83,4
2022-03-09,83,083018,Messina,Condrò,214.13,1
2022-03-09,83,083019,Messina,Falcone,961.89,26
2022-03-09,83,083020,Messina,Ficarra,300.53,4
2022-03-09,83,083021,Messina,Fiumedinisi,1313.76,17
2022-03-09,83,083022,Messina,Floresta,223.71,1
2022-03-09,83,083023,Messina,Fondachelli-Fantina,297.62,3
2022-03-09,83,083024,Messina,Forza d'Agrò,1245.75,11
2022-03-09,83,083025,Messina,Francavilla di Sicilia,165.02,6
2022-03-09,83,083026,Messina,Frazzanò,332.78,2
2022-03-09,83,083027,Messina,Furci Siculo,1185.65,38
2022-03-09,83,083028,Messina,Furnari,1092.46,41
2022-03-09,83,083029,Messina,Gaggi,1612.37,49
2022-03-09,83,083030,Messina,Galati Mamertino,1524.78,36
2022-03-09,83,083031,Messina,Gallodoro,287.36,1
2022-03-09,83,083032,Messina,Giardini-Naxos,777.26,70
2022-03-09,83,083033,Messina,Gioiosa Marea,961.97,65
2022-03-09,83,083034,Messina,Graniti,1122.81,16
2022-03-09,83,083035,Messina,Gualtieri Sicaminò,1176.47,19
2022-03-09,83,083036,Messina,Itala,475.54,7
2022-03-09,83,083037,Messina,Leni,0.0,0
2022-03-09,83,083038,Messina,Letojanni,652.88,18
2022-03-09,83,083039,Messina,Librizzi,1450.19,23
2022-03-09,83,083040,Messina,Limina,1224.49,9
2022-03-09,83,083041,Messina,Lipari,644.06,79
2022-03-09,83,083042,Messina,Longi,519.29,7
2022-03-09,83,083043,Messina,Malfa,203.46,2
2022-03-09,83,083044,Messina,Malvagna,308.17,2
2022-03-09,83,083045,Messina,Mandanici,1436.27,8
2022-03-09,83,083046,Messina,Mazzarrà Sant'Andrea,213.52,3
2022-03-09,83,083047,Messina,Merì,1201.72,28
2022-03-09,83,083048,Messina,Messina,922.06,2050
2022-03-09,83,083049,Messina,Milazzo,841.52,256
2022-03-09,83,083050,Messina,Militello Rosmarino,1420.22,17
2022-03-09,83,083051,Messina,Mirto,657.17,6
2022-03-09,83,083052,Messina,Mistretta,834.46,37
2022-03-09,83,083053,Messina,Moio Alcantara,0.0,0
2022-03-09,83,083054,Messina,Monforte San Giorgio,663.03,17
2022-03-09,83,083055,Messina,Mongiuffi Melia,727.27,4
2022-03-09,83,083056,Messina,Montagnareale,631.14,9
2022-03-09,83,083057,Messina,Montalbano Elicona,299.85,6
2022-03-09,83,083058,Messina,Motta Camastra,124.38,1
2022-03-09,83,083059,Messina,Motta d'Affermo,149.25,1
2022-03-09,83,083060,Messina,Naso,510.93,18
2022-03-09,83,083061,Messina,Nizza di Sicilia,1392.84,49
2022-03-09,83,083062,Messina,Novara di Sicilia,504.2,6
2022-03-09,83,083063,Messina,Oliveri,785.85,16
2022-03-09,83,083064,Messina,Pace del Mela,577.94,35
2022-03-09,83,083065,Messina,Pagliara,91.16,1
2022-03-09,83,083066,Messina,Patti,836.72,107
2022-03-09,83,083067,Messina,Pettineo,1774.19,22
2022-03-09,83,083068,Messina,Piraino,1184.83,45
2022-03-09,83,083069,Messina,Raccuja,444.94,4
2022-03-09,83,083070,Messina,Reitano,409.28,3
2022-03-09,83,083071,Messina,Roccafiorita,549.45,1
2022-03-09,83,083072,Messina,Roccalumera,1264.86,50
2022-03-09,83,083073,Messina,Roccavaldina,99.3,1
2022-03-09,83,083074,Messina,Roccella Valdemone,171.53,1
