data,cod_prov,pro_com_t,provincia,comune,incidenza,casi
2022-03-30,84,084001,Agrigento,Agrigento,1335.19,746
2022-03-30,84,084002,Agrigento,Alessandria della Rocca,623.30,16
2022-03-30,84,084003,Agrigento,Aragona,1383.27,123
2022-03-30,84,084004,Agrigento,Bivona,30.32,1
2022-03-30,84,084005,Agrigento,Burgio,315.96,8
2022-03-30,84,084006,Agrigento,Calamonaci,415.63,5
2022-03-30,84,084007,Agrigento,Caltabellotta,181.27,6
2022-03-30,84,084008,Agrigento,Camastra,1256.54,24
2022-03-30,84,084009,Agrigento,Cammarata,1146.71,68
2022-03-30,84,084010,Agrigento,Campobello di Licata,842.33,78
2022-03-30,84,084011,Agrigento,Canicattì,1039.31,358
2022-03-30,84,084012,Agrigento,Casteltermini,1124.05,84
2022-03-30,84,084013,Agrigento,Castrofilippo,1095.99,29
2022-03-30,84,084014,Agrigento,Cattolica Eraclea,772.89,26
2022-03-30,84,084015,Agrigento,Cianciana,2486.62,79
2022-03-30,84,084016,Agrigento,Comitini,1578.35,14
2022-03-30,84,084017,Agrigento,Favara,1583.86,504
2022-03-30,84,084018,Agrigento,Grotte,1225.72,65
2022-03-30,84,084019,Agrigento,Joppolo Giancaxio,453.72,5
2022-03-30,84,084020,Agrigento,Lampedusa e Linosa,789.02,50
2022-03-30,84,084021,Agrigento,Licata,790.29,274
2022-03-30,84,084022,Agrigento,Lucca Sicula,520.23,9
2022-03-30,84,084023,Agrigento,Menfi,1202.17,142
2022-03-30,84,084024,Agrigento,Montallegro,1299.79,31
2022-03-30,84,084025,Agrigento,Montevago,804.68,22
2022-03-30,84,084026,Agrigento,Naro,1448.66,103
2022-03-30,84,084027,Agrigento,Palma di Montechiaro,1264.17,271
2022-03-30,84,084028,Agrigento,Porto Empedocle,1305.85,204
2022-03-30,84,084029,Agrigento,Racalmuto,1144.29,87
2022-03-30,84,084030,Agrigento,Raffadali,840.13,103
2022-03-30,84,084031,Agrigento,Ravanusa,832.23,88
2022-03-30,84,084032,Agrigento,Realmonte,1393.01,61
2022-03-30,84,084033,Agrigento,Ribera,603.61,109
2022-03-30,84,084034,Agrigento,Sambuca di Sicilia,528.71,29
2022-03-30,84,084035,Agrigento,San Biagio Platani,984.39,29
2022-03-30,84,084036,Agrigento,San Giovanni Gemini,856.39,65
2022-03-30,84,084039,Agrigento,Sant'Angelo Muxaro,2871.62,34
2022-03-30,84,084037,Agrigento,Santa Elisabetta,2539.24,55
2022-03-30,84,084038,Agrigento,Santa Margherita di Belice,1048.49,64
2022-03-30,84,084040,Agrigento,Santo Stefano Quisquina,426.94,18
2022-03-30,84,084041,Agrigento,Sciacca,1054.78,414
2022-03-30,84,084042,Agrigento,Siculiana,1580.08,66
2022-03-30,84,084043,Agrigento,Villafranca Sicula,515.46,7
2022-03-30,85,085001,Caltanissetta,Acquaviva Platani,1122.33,10
2022-03-30,85,085002,Caltanissetta,Bompensiere,957.85,5
2022-03-30,85,085003,Caltanissetta,Butera,1275.39,54
2022-03-30,85,085004,Caltanissetta,Caltanissetta,1059.07,634
2022-03-30,85,085005,Caltanissetta,Campofranco,833.94,23
2022-03-30,85,085006,Caltanissetta,Delia,1111.67,44
2022-03-30,85,085007,Caltanissetta,Gela,1029.09,746
2022-03-30,85,085008,Caltanissetta,Marianopoli,898.74,15
2022-03-30,85,085009,Caltanissetta,Mazzarino,241.48,27
2022-03-30,85,085010,Caltanissetta,Milena,576.16,16
2022-03-30,85,085011,Caltanissetta,Montedoro,705.22,10
2022-03-30,85,085012,Caltanissetta,Mussomeli,904.66,91
2022-03-30,85,085013,Caltanissetta,Niscemi,480.54,121
2022-03-30,85,085014,Caltanissetta,Resuttano,1271.42,23
2022-03-30,85,085015,Caltanissetta,Riesi,598.30,64
2022-03-30,85,085016,Caltanissetta,San Cataldo,950.36,202
2022-03-30,85,085017,Caltanissetta,Santa Caterina Villarmosa,639.57,31
2022-03-30,85,085018,Caltanissetta,Serradifalco,933.26,53
2022-03-30,85,085019,Caltanissetta,Sommatino,1510.71,98
2022-03-30,85,085020,Caltanissetta,Sutera,162.07,2
2022-03-30,85,085021,Caltanissetta,Vallelunga Pratameno,594.12,19
2022-03-30,85,085022,Caltanissetta,Villalba,135.14,2
2022-03-30,87,087001,Catania,Aci Bonaccorsi,114.45,4
2022-03-30,87,087002,Catania,Aci Castello,450.33,81
2022-03-30,87,087003,Catania,Aci Catena,426.14,120
2022-03-30,87,087005,Catania,Aci Sant'Antonio,447.75,80
2022-03-30,87,087004,Catania,Acireale,321.96,163
2022-03-30,87,087006,Catania,Adrano,162.12,55
2022-03-30,87,087007,Catania,Belpasso,370.29,102
2022-03-30,87,087008,Catania,Biancavilla,326.27,75
2022-03-30,87,087009,Catania,Bronte,360.12,66
2022-03-30,87,087010,Catania,Calatabiano,409.12,21
2022-03-30,87,087011,Catania,Caltagirone,386.30,140
2022-03-30,87,087012,Catania,Camporotondo Etneo,602.06,31
2022-03-30,87,087013,Catania,Castel di Iudica,505.51,22
2022-03-30,87,087014,Catania,Castiglione di Sicilia,202.09,6
2022-03-30,87,087015,Catania,Catania,421.83,1267
2022-03-30,87,087016,Catania,Fiumefreddo di Sicilia,924.50,84
2022-03-30,87,087017,Catania,Giarre,774.02,205
2022-03-30,87,087018,Catania,Grammichele,620.97,78
2022-03-30,87,087019,Catania,Gravina di Catania,535.34,134
2022-03-30,87,087020,Catania,Licodia Eubea,393.70,11
2022-03-30,87,087021,Catania,Linguaglossa,294.23,15
2022-03-30,87,087022,Catania,Maletto,553.56,20
2022-03-30,87,087057,Catania,Maniace,454.67,17
