data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-01-06,84,084001,Agrigento,Agrigento,86.15,83.49
2022-01-06,84,084002,Agrigento,Alessandria della Rocca,83.39,81.39
2022-01-06,84,084003,Agrigento,Aragona,86.52,84.63
2022-01-06,84,084004,Agrigento,Bivona,84.76,82.78
2022-01-06,84,084005,Agrigento,Burgio,88.05,86.03
2022-01-06,84,084006,Agrigento,Calamonaci,78.84,76.64
2022-01-06,84,084007,Agrigento,Caltabellotta,83.87,81.74
2022-01-06,84,084008,Agrigento,Camastra,79.25,77.05
2022-01-06,84,084009,Agrigento,Cammarata,84.98,83.17
2022-01-06,84,084010,Agrigento,Campobello di Licata,82.00,79.45
2022-01-06,84,084011,Agrigento,Canicattì,78.75,76.33
2022-01-06,84,084012,Agrigento,Casteltermini,83.47,81.93
2022-01-06,84,084013,Agrigento,Castrofilippo,76.86,75.89
2022-01-06,84,084014,Agrigento,Cattolica Eraclea,80.44,78.39
2022-01-06,84,084015,Agrigento,Cianciana,85.74,83.52
2022-01-06,84,084016,Agrigento,Comitini,91.75,88.68
2022-01-06,84,084017,Agrigento,Favara,82.88,80.47
2022-01-06,84,084018,Agrigento,Grotte,84.86,83.70
2022-01-06,84,084019,Agrigento,Joppolo Giancaxio,80.95,79.37
2022-01-06,84,084020,Agrigento,Lampedusa e Linosa,78.91,75.52
2022-01-06,84,084021,Agrigento,Licata,76.47,73.04
2022-01-06,84,084022,Agrigento,Lucca Sicula,88.11,84.89
2022-01-06,84,084023,Agrigento,Menfi,82.70,80.71
2022-01-06,84,084024,Agrigento,Montallegro,83.03,81.12
2022-01-06,84,084025,Agrigento,Montevago,85.10,83.12
2022-01-06,84,084026,Agrigento,Naro,80.22,78.39
2022-01-06,84,084027,Agrigento,Palma di Montechiaro,73.33,69.97
2022-01-06,84,084028,Agrigento,Porto Empedocle,80.92,78.86
2022-01-06,84,084029,Agrigento,Racalmuto,81.01,79.68
2022-01-06,84,084030,Agrigento,Raffadali,84.84,82.32
2022-01-06,84,084031,Agrigento,Ravanusa,70.45,68.31
2022-01-06,84,084032,Agrigento,Realmonte,83.39,80.95
2022-01-06,84,084033,Agrigento,Ribera,82.08,78.81
2022-01-06,84,084034,Agrigento,Sambuca di Sicilia,87.84,84.59
2022-01-06,84,084035,Agrigento,San Biagio Platani,84.33,81.14
2022-01-06,84,084036,Agrigento,San Giovanni Gemini,82.96,80.70
2022-01-06,84,084037,Agrigento,Santa Elisabetta,85.93,82.80
2022-01-06,84,084038,Agrigento,Santa Margherita di Belice,83.68,80.94
2022-01-06,84,084039,Agrigento,Sant'Angelo Muxaro,81.08,79.36
2022-01-06,84,084040,Agrigento,Santo Stefano Quisquina,87.28,85.08
2022-01-06,84,084041,Agrigento,Sciacca,88.63,87.59
2022-01-06,84,084042,Agrigento,Siculiana,80.96,78.79
2022-01-06,84,084043,Agrigento,Villafranca Sicula,85.56,83.64
2022-01-06,85,085001,Caltanissetta,Acquaviva Platani,92.27,91.45
2022-01-06,85,085002,Caltanissetta,Bompensiere,88.71,87.10
2022-01-06,85,085003,Caltanissetta,Butera,72.54,68.92
2022-01-06,85,085004,Caltanissetta,Caltanissetta,82.21,79.55
2022-01-06,85,085005,Caltanissetta,Campofranco,79.81,79.96
2022-01-06,85,085006,Caltanissetta,Delia,78.55,76.23
2022-01-06,85,085007,Caltanissetta,Gela,74.32,69.90
2022-01-06,85,085008,Caltanissetta,Marianopoli,74.07,67.22
2022-01-06,85,085009,Caltanissetta,Mazzarino,77.36,72.53
2022-01-06,85,085010,Caltanissetta,Milena,87.45,85.73
2022-01-06,85,085011,Caltanissetta,Montedoro,83.35,81.25
2022-01-06,85,085012,Caltanissetta,Mussomeli,85.19,84.12
2022-01-06,85,085013,Caltanissetta,Niscemi,75.04,72.04
2022-01-06,85,085014,Caltanissetta,Resuttano,86.82,87.33
2022-01-06,85,085015,Caltanissetta,Riesi,74.80,72.07
2022-01-06,85,085016,Caltanissetta,San Cataldo,84.04,81.73
2022-01-06,85,085017,Caltanissetta,Santa Caterina Villarmosa,83.33,82.76
2022-01-06,85,085018,Caltanissetta,Serradifalco,82.65,80.89
2022-01-06,85,085019,Caltanissetta,Sommatino,80.26,78.07
2022-01-06,85,085020,Caltanissetta,Sutera,86.94,87.36
2022-01-06,85,085021,Caltanissetta,Vallelunga Pratameno,78.20,74.72
2022-01-06,85,085022,Caltanissetta,Villalba,79.76,79.63
2022-01-06,87,087001,Catania,Aci Bonaccorsi,73.65,70.87
2022-01-06,87,087002,Catania,Aci Castello,74.88,72.10
2022-01-06,87,087003,Catania,Aci Catena,71.86,68.53
2022-01-06,87,087005,Catania,Aci Sant'Antonio,72.87,69.73
2022-01-06,87,087004,Catania,Acireale,75.53,72.34
2022-01-06,87,087006,Catania,Adrano,71.80,68.15
2022-01-06,87,087007,Catania,Belpasso,71.11,67.86
2022-01-06,87,087008,Catania,Biancavilla,77.40,74.28
2022-01-06,87,087009,Catania,Bronte,79.53,76.67
2022-01-06,87,087010,Catania,Calatabiano,75.62,72.38
2022-01-06,87,087011,Catania,Caltagirone,83.42,82.85
2022-01-06,87,087012,Catania,Camporotondo Etneo,65.75,62.12
2022-01-06,87,087013,Catania,Castel di Iudica,71.95,67.91
2022-01-06,87,087014,Catania,Castiglione di Sicilia,78.51,74.11
2022-01-06,87,087015,Catania,Catania,85.65,81.63
2022-01-06,87,087016,Catania,Fiumefreddo di Sicilia,73.86,69.92
2022-01-06,87,087017,Catania,Giarre,76.30,72.73
2022-01-06,87,087018,Catania,Grammichele,76.79,75.49
2022-01-06,87,087019,Catania,Gravina di Catania,68.71,65.82
2022-01-06,87,087020,Catania,Licodia Eubea,76.31,73.60
2022-01-06,87,087021,Catania,Linguaglossa,78.99,76.45
2022-01-06,87,087022,Catania,Maletto,83.88,81.92
2022-01-06,87,087057,Catania,Maniace,71.08,67.21
2022-01-06,87,087023,Catania,Mascali,72.76,69.27
2022-01-06,87,087024,Catania,Mascalucia,70.26,67.04
2022-01-06,87,087056,Catania,Mazzarrone,80.47,78.43
2022-01-06,87,087025,Catania,Militello in Val di Catania,75.85,74.63
2022-01-06,87,087026,Catania,Milo,79.72,77.14
2022-01-06,87,087027,Catania,Mineo,78.77,77.14
2022-01-06,87,087028,Catania,Mirabella Imbaccari,78.52,75.30
2022-01-06,87,087029,Catania,Misterbianco,66.37,62.95
2022-01-06,87,087030,Catania,Motta Sant'Anastasia,69.42,66.22
2022-01-06,87,087031,Catania,Nicolosi,70.46,66.95
2022-01-06,87,087032,Catania,Palagonia,70.13,67.56
2022-01-06,87,087033,Catania,Paternò,74.39,70.63
2022-01-06,87,087034,Catania,Pedara,67.77,64.40
2022-01-06,87,087035,Catania,Piedimonte Etneo,71.36,68.83
2022-01-06,87,087036,Catania,Raddusa,76.06,72.98
2022-01-06,87,087058,Catania,Ragalna,65.39,62.69
2022-01-06,87,087037,Catania,Ramacca,76.01,74.26
2022-01-06,87,087038,Catania,Randazzo,77.30,73.97
2022-01-06,87,087039,Catania,Riposto,72.99,70.10
2022-01-06,87,087040,Catania,San Cono,78.14,75.88
2022-01-06,87,087041,Catania,San Giovanni la Punta,74.09,71.25
2022-01-06,87,087042,Catania,San Gregorio di Catania,76.11,73.22
2022-01-06,87,087043,Catania,San Michele di Ganzaria,75.33,72.29
2022-01-06,87,087044,Catania,San Pietro Clarenza,67.22,63.91
2022-01-06,87,087047,Catania,Santa Maria di Licodia,69.02,66.03
2022-01-06,87,087048,Catania,Santa Venerina,72.31,68.98
2022-01-06,87,087045,Catania,Sant'Agata li Battiati,73.30,71.10
2022-01-06,87,087046,Catania,Sant'Alfio,73.58,70.84
2022-01-06,87,087049,Catania,Scordia,81.46,79.07
2022-01-06,87,087050,Catania,Trecastagni,72.10,68.40
2022-01-06,87,087051,Catania,Tremestieri Etneo,71.50,68.57
2022-01-06,87,087052,Catania,Valverde,72.32,69.39
2022-01-06,87,087053,Catania,Viagrande,74.47,71.29
2022-01-06,87,087054,Catania,Vizzini,82.63,79.22
2022-01-06,87,087055,Catania,Zafferana Etnea,73.20,69.78
2022-01-06,86,086001,Enna,Agira,72.46,69.43
2022-01-06,86,086002,Enna,Aidone,79.99,78.40
2022-01-06,86,086003,Enna,Assoro,76.83,74.64
