data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-02-09,84,084001,Agrigento,Agrigento,91.73,87.90
2022-02-09,84,084002,Agrigento,Alessandria della Rocca,89.52,86.67
2022-02-09,84,084003,Agrigento,Aragona,91.38,89.81
2022-02-09,84,084004,Agrigento,Bivona,90.15,88.05
2022-02-09,84,084005,Agrigento,Burgio,93.02,92.41
2022-02-09,84,084006,Agrigento,Calamonaci,83.78,81.46
2022-02-09,84,084007,Agrigento,Caltabellotta,87.85,86.73
2022-02-09,84,084008,Agrigento,Camastra,85.17,82.09
2022-02-09,84,084009,Agrigento,Cammarata,89.86,87.24
2022-02-09,84,084010,Agrigento,Campobello di Licata,87.55,83.44
2022-02-09,84,084011,Agrigento,Canicattì,85.84,81.86
2022-02-09,84,084012,Agrigento,Casteltermini,88.72,85.72
2022-02-09,84,084013,Agrigento,Castrofilippo,80.81,80.06
2022-02-09,84,084014,Agrigento,Cattolica Eraclea,85.51,82.46
2022-02-09,84,084015,Agrigento,Cianciana,92.09,90.14
2022-02-09,84,084016,Agrigento,Comitini,93.65,90.13
2022-02-09,84,084017,Agrigento,Favara,89.21,85.88
2022-02-09,84,084018,Agrigento,Grotte,90.96,88.71
2022-02-09,84,084019,Agrigento,Joppolo Giancaxio,87.13,84.30
2022-02-09,84,084020,Agrigento,Lampedusa e Linosa,85.99,83.13
2022-02-09,84,084021,Agrigento,Licata,84.72,80.18
2022-02-09,84,084022,Agrigento,Lucca Sicula,93.89,90.72
2022-02-09,84,084023,Agrigento,Menfi,89.74,86.52
2022-02-09,84,084024,Agrigento,Montallegro,88.84,87.83
2022-02-09,84,084025,Agrigento,Montevago,91.57,88.23
2022-02-09,84,084026,Agrigento,Naro,85.25,81.56
2022-02-09,84,084027,Agrigento,Palma di Montechiaro,77.73,73.28
2022-02-09,84,084028,Agrigento,Porto Empedocle,86.63,83.45
2022-02-09,84,084029,Agrigento,Racalmuto,86.50,83.93
2022-02-09,84,084030,Agrigento,Raffadali,89.28,85.99
2022-02-09,84,084031,Agrigento,Ravanusa,76.86,74.02
2022-02-09,84,084032,Agrigento,Realmonte,88.47,84.72
2022-02-09,84,084033,Agrigento,Ribera,85.48,82.68
2022-02-09,84,084034,Agrigento,Sambuca di Sicilia,93.03,90.37
2022-02-09,84,084035,Agrigento,San Biagio Platani,88.20,85.01
2022-02-09,84,084036,Agrigento,San Giovanni Gemini,88.50,85.51
2022-02-09,84,084037,Agrigento,Santa Elisabetta,90.75,86.61
2022-02-09,84,084038,Agrigento,Santa Margherita di Belice,89.82,86.13
2022-02-09,84,084039,Agrigento,Sant'Angelo Muxaro,84.86,81.57
2022-02-09,84,084040,Agrigento,Santo Stefano Quisquina,91.62,88.92
2022-02-09,84,084041,Agrigento,Sciacca,92.99,93.47
2022-02-09,84,084042,Agrigento,Siculiana,86.47,82.99
2022-02-09,84,084043,Agrigento,Villafranca Sicula,89.32,87.01
2022-02-09,85,085001,Caltanissetta,Acquaviva Platani,93.29,92.13
2022-02-09,85,085002,Caltanissetta,Bompensiere,89.33,86.76
2022-02-09,85,085003,Caltanissetta,Butera,77.05,73.23
2022-02-09,85,085004,Caltanissetta,Caltanissetta,86.29,82.56
2022-02-09,85,085005,Caltanissetta,Campofranco,84.28,85.84
2022-02-09,85,085006,Caltanissetta,Delia,82.29,79.49
2022-02-09,85,085007,Caltanissetta,Gela,78.30,72.93
2022-02-09,85,085008,Caltanissetta,Marianopoli,80.23,72.68
2022-02-09,85,085009,Caltanissetta,Mazzarino,82.50,76.48
2022-02-09,85,085010,Caltanissetta,Milena,92.31,89.35
2022-02-09,85,085011,Caltanissetta,Montedoro,89.83,85.15
2022-02-09,85,085012,Caltanissetta,Mussomeli,89.18,87.64
2022-02-09,85,085013,Caltanissetta,Niscemi,80.73,77.80
2022-02-09,85,085014,Caltanissetta,Resuttano,91.28,94.41
2022-02-09,85,085015,Caltanissetta,Riesi,80.49,77.47
2022-02-09,85,085016,Caltanissetta,San Cataldo,86.95,83.55
2022-02-09,85,085017,Caltanissetta,Santa Caterina Villarmosa,87.91,88.92
2022-02-09,85,085018,Caltanissetta,Serradifalco,87.48,84.28
2022-02-09,85,085019,Caltanissetta,Sommatino,85.14,82.05
2022-02-09,85,085020,Caltanissetta,Sutera,89.87,89.53
2022-02-09,85,085021,Caltanissetta,Vallelunga Pratameno,82.37,81.40
2022-02-09,85,085022,Caltanissetta,Villalba,82.15,84.38
2022-02-09,87,087001,Catania,Aci Bonaccorsi,80.30,75.80
2022-02-09,87,087002,Catania,Aci Castello,77.15,73.41
2022-02-09,87,087003,Catania,Aci Catena,75.52,71.07
2022-02-09,87,087005,Catania,Aci Sant'Antonio,78.17,73.83
2022-02-09,87,087004,Catania,Acireale,80.45,76.18
2022-02-09,87,087006,Catania,Adrano,76.54,71.64
2022-02-09,87,087007,Catania,Belpasso,75.35,70.59
2022-02-09,87,087008,Catania,Biancavilla,81.37,77.10
2022-02-09,87,087009,Catania,Bronte,83.70,79.86
2022-02-09,87,087010,Catania,Calatabiano,82.57,78.72
2022-02-09,87,087011,Catania,Caltagirone,87.18,86.76
2022-02-09,87,087012,Catania,Camporotondo Etneo,70.06,64.67
2022-02-09,87,087013,Catania,Castel di Iudica,76.80,72.72
2022-02-09,87,087014,Catania,Castiglione di Sicilia,84.59,78.54
2022-02-09,87,087015,Catania,Catania,89.68,83.84
2022-02-09,87,087016,Catania,Fiumefreddo di Sicilia,79.86,74.85
2022-02-09,87,087017,Catania,Giarre,82.26,76.70
2022-02-09,87,087018,Catania,Grammichele,82.17,80.50
2022-02-09,87,087019,Catania,Gravina di Catania,73.83,69.25
2022-02-09,87,087020,Catania,Licodia Eubea,84.35,80.02
2022-02-09,87,087021,Catania,Linguaglossa,82.94,78.91
2022-02-09,87,087022,Catania,Maletto,87.69,85.04
2022-02-09,87,087057,Catania,Maniace,74.70,69.09
2022-02-09,87,087023,Catania,Mascali,77.62,72.14
2022-02-09,87,087024,Catania,Mascalucia,73.24,68.35
2022-02-09,87,087056,Catania,Mazzarrone,84.52,81.68
2022-02-09,87,087025,Catania,Militello in Val di Catania,79.72,79.17
2022-02-09,87,087026,Catania,Milo,83.73,79.86
2022-02-09,87,087027,Catania,Mineo,76.65,75.66
