data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-04-06,84,084001,Agrigento,Agrigento,92.64,90.76
2022-04-06,84,084002,Agrigento,Alessandria della Rocca,89.80,87.88
2022-04-06,84,084003,Agrigento,Aragona,92.25,91.77
2022-04-06,84,084004,Agrigento,Bivona,90.80,90.03
2022-04-06,84,084005,Agrigento,Burgio,93.60,93.27
2022-04-06,84,084006,Agrigento,Calamonaci,84.29,83.69
2022-04-06,84,084007,Agrigento,Caltabellotta,88.60,88.32
2022-04-06,84,084008,Agrigento,Camastra,85.92,84.30
2022-04-06,84,084009,Agrigento,Cammarata,90.65,89.58
2022-04-06,84,084010,Agrigento,Campobello di Licata,88.22,85.96
2022-04-06,84,084011,Agrigento,Canicattì,87.04,85.99
2022-04-06,84,084012,Agrigento,Casteltermini,89.39,88.97
2022-04-06,84,084013,Agrigento,Castrofilippo,82.11,82.75
2022-04-06,84,084014,Agrigento,Cattolica Eraclea,86.00,84.86
2022-04-06,84,084015,Agrigento,Cianciana,92.81,91.77
2022-04-06,84,084016,Agrigento,Comitini,94.01,91.42
2022-04-06,84,084017,Agrigento,Favara,90.13,88.56
2022-04-06,84,084018,Agrigento,Grotte,91.97,91.85
2022-04-06,84,084019,Agrigento,Joppolo Giancaxio,87.51,85.71
2022-04-06,84,084020,Agrigento,Lampedusa e Linosa,87.06,86.20
2022-04-06,84,084021,Agrigento,Licata,85.87,84.54
2022-04-06,84,084022,Agrigento,Lucca Sicula,94.38,92.67
2022-04-06,84,084023,Agrigento,Menfi,90.47,89.96
2022-04-06,84,084024,Agrigento,Montallegro,89.58,90.28
2022-04-06,84,084025,Agrigento,Montevago,92.33,91.49
2022-04-06,84,084026,Agrigento,Naro,86.35,84.79
2022-04-06,84,084027,Agrigento,Palma di Montechiaro,78.57,75.84
2022-04-06,84,084028,Agrigento,Porto Empedocle,87.35,86.11
2022-04-06,84,084029,Agrigento,Racalmuto,87.46,86.90
2022-04-06,84,084030,Agrigento,Raffadali,89.96,88.14
2022-04-06,84,084031,Agrigento,Ravanusa,77.77,76.56
2022-04-06,84,084032,Agrigento,Realmonte,89.18,87.00
2022-04-06,84,084033,Agrigento,Ribera,86.44,84.83
2022-04-06,84,084034,Agrigento,Sambuca di Sicilia,93.37,92.05
2022-04-06,84,084035,Agrigento,San Biagio Platani,88.76,86.48
2022-04-06,84,084036,Agrigento,San Giovanni Gemini,89.12,87.78
2022-04-06,84,084037,Agrigento,Santa Elisabetta,91.71,89.94
2022-04-06,84,084038,Agrigento,Santa Margherita di Belice,90.86,89.42
2022-04-06,84,084039,Agrigento,Sant'Angelo Muxaro,85.64,84.34
2022-04-06,84,084040,Agrigento,Santo Stefano Quisquina,92.16,91.09
2022-04-06,84,084041,Agrigento,Sciacca,93.49,95.23
2022-04-06,84,084042,Agrigento,Siculiana,86.94,85.50
2022-04-06,84,084043,Agrigento,Villafranca Sicula,89.85,89.09
2022-04-06,85,085001,Caltanissetta,Acquaviva Platani,94.21,93.98
2022-04-06,85,085002,Caltanissetta,Bompensiere,89.72,87.35
2022-04-06,85,085003,Caltanissetta,Butera,78.61,76.13
2022-04-06,85,085004,Caltanissetta,Caltanissetta,87.33,85.83
2022-04-06,85,085005,Caltanissetta,Campofranco,84.95,88.03
2022-04-06,85,085006,Caltanissetta,Delia,83.11,82.40
2022-04-06,85,085007,Caltanissetta,Gela,79.27,75.79
2022-04-06,85,085008,Caltanissetta,Marianopoli,81.77,78.27
2022-04-06,85,085009,Caltanissetta,Mazzarino,84.08,80.39
2022-04-06,85,085010,Caltanissetta,Milena,93.01,91.61
2022-04-06,85,085011,Caltanissetta,Montedoro,90.49,88.66
2022-04-06,85,085012,Caltanissetta,Mussomeli,90.44,90.46
2022-04-06,85,085013,Caltanissetta,Niscemi,81.92,80.35
2022-04-06,85,085014,Caltanissetta,Resuttano,92.36,97.61
2022-04-06,85,085015,Caltanissetta,Riesi,81.67,80.82
2022-04-06,85,085016,Caltanissetta,San Cataldo,87.56,86.63
2022-04-06,85,085017,Caltanissetta,Santa Caterina Villarmosa,88.79,91.91
2022-04-06,85,085018,Caltanissetta,Serradifalco,88.25,87.37
2022-04-06,85,085019,Caltanissetta,Sommatino,86.51,85.38
2022-04-06,85,085020,Caltanissetta,Sutera,90.70,91.61
2022-04-06,85,085021,Caltanissetta,Vallelunga Pratameno,82.95,84.40
2022-04-06,85,085022,Caltanissetta,Villalba,82.29,85.63
2022-04-06,87,087001,Catania,Aci Bonaccorsi,81.29,78.69
2022-04-06,87,087002,Catania,Aci Castello,77.82,75.63
2022-04-06,87,087003,Catania,Aci Catena,76.22,74.15
2022-04-06,87,087005,Catania,Aci Sant'Antonio,79.00,77.06
2022-04-06,87,087004,Catania,Acireale,81.25,79.11
2022-04-06,87,087006,Catania,Adrano,77.60,75.17
2022-04-06,87,087007,Catania,Belpasso,76.10,73.37
2022-04-06,87,087008,Catania,Biancavilla,82.04,79.46
2022-04-06,87,087009,Catania,Bronte,84.40,81.85
2022-04-06,87,087010,Catania,Calatabiano,83.91,83.99
2022-04-06,87,087011,Catania,Caltagirone,88.16,90.04
2022-04-06,87,087012,Catania,Camporotondo Etneo,71.22,67.76
2022-04-06,87,087013,Catania,Castel di Iudica,78.15,75.89
2022-04-06,87,087014,Catania,Castiglione di Sicilia,85.86,82.20
2022-04-06,87,087015,Catania,Catania,90.88,87.51
2022-04-06,87,087016,Catania,Fiumefreddo di Sicilia,81.08,79.00
2022-04-06,87,087017,Catania,Giarre,83.49,80.61
2022-04-06,87,087018,Catania,Grammichele,83.02,83.55
2022-04-06,87,087019,Catania,Gravina di Catania,74.46,71.98
2022-04-06,87,087020,Catania,Licodia Eubea,84.57,82.02
2022-04-06,87,087021,Catania,Linguaglossa,83.61,81.55
2022-04-06,87,087022,Catania,Maletto,88.32,86.57
2022-04-06,87,087057,Catania,Maniace,75.52,72.53
2022-04-06,87,087023,Catania,Mascali,78.65,76.12
2022-04-06,87,087024,Catania,Mascalucia,74.08,71.14
2022-04-06,87,087056,Catania,Mazzarrone,85.46,84.50
2022-04-06,87,087025,Catania,Militello in Val di Catania,80.29,80.57
2022-04-06,87,087026,Catania,Milo,84.62,82.64
2022-04-06,87,087027,Catania,Mineo,77.67,78.56
2022-04-06,87,087028,Catania,Mirabella Imbaccari,85.31,83.93
2022-04-06,87,087029,Catania,Misterbianco,72.69,69.87
2022-04-06,87,087030,Catania,Motta Sant'Anastasia,75.98,73.21
2022-04-06,87,087031,Catania,Nicolosi,74.44,71.37
2022-04-06,87,087032,Catania,Palagonia,75.96,76.82
2022-04-06,87,087033,Catania,Paternò,81.63,78.48
2022-04-06,87,087034,Catania,Pedara,73.16,70.51
2022-04-06,87,087035,Catania,Piedimonte Etneo,78.28,76.32
2022-04-06,87,087036,Catania,Raddusa,82.31,80.82
2022-04-06,87,087058,Catania,Ragalna,68.80,66.90
2022-04-06,87,087037,Catania,Ramacca,80.65,81.29
2022-04-06,87,087038,Catania,Randazzo,82.80,80.11
2022-04-06,87,087039,Catania,Riposto,79.34,76.84
2022-04-06,87,087040,Catania,San Cono,86.21,84.53
2022-04-06,87,087041,Catania,San Giovanni la Punta,78.14,75.80
2022-04-06,87,087042,Catania,San Gregorio di Catania,80.32,78.09
2022-04-06,87,087043,Catania,San Michele di Ganzaria,83.21,81.64
2022-04-06,87,087044,Catania,San Pietro Clarenza,71.61,68.36
2022-04-06,87,087047,Catania,Santa Maria di Licodia,76.23,73.72
2022-04-06,87,087048,Catania,Santa Venerina,79.24,77.01
2022-04-06,87,087045,Catania,Sant'Agata li Battiati,77.58,76.09
2022-04-06,87,087046,Catania,Sant'Alfio,80.36,78.08
2022-04-06,87,087049,Catania,Scordia,85.77,83.71
2022-04-06,87,087050,Catania,Trecastagni,77.85,75.03
2022-04-06,87,087051,Catania,Tremestieri Etneo,75.81,73.33
2022-04-06,87,087052,Catania,Valverde,77.69,75.63
2022-04-06,87,087053,Catania,Viagrande,78.26,76.52
2022-04-06,87,087054,Catania,Vizzini,86.89,83.87
2022-04-06,87,087055,Catania,Zafferana Etnea,80.20,77.89
2022-04-06,86,086001,Enna,Agira,81.04,77.98
2022-04-06,86,086002,Enna,Aidone,85.93,85.93
2022-04-06,86,086003,Enna,Assoro,82.55,82.19
2022-04-06,86,086004,Enna,Barrafranca,81.95,79.69
2022-04-06,86,086005,Enna,Calascibetta,87.94,89.33
2022-04-06,86,086006,Enna,Catenanuova,78.88,76.87
2022-04-06,86,086007,Enna,Centuripe,79.64,78.59
2022-04-06,86,086008,Enna,Cerami,92.04,92.87
2022-04-06,86,086009,Enna,Enna,90.00,90.31
2022-04-06,86,086010,Enna,Gagliano Castelferrato,87.27,87.30
2022-04-06,86,086011,Enna,Leonforte,88.22,87.73
2022-04-06,86,086012,Enna,Nicosia,87.87,88.79
2022-04-06,86,086013,Enna,Nissoria,79.55,79.30
2022-04-06,86,086014,Enna,Piazza Armerina,83.14,82.85
2022-04-06,86,086015,Enna,Pietraperzia,87.62,87.23
2022-04-06,86,086016,Enna,Regalbuto,83.22,82.43
2022-04-06,86,086017,Enna,Sperlinga,90.48,90.48
2022-04-06,86,086018,Enna,Troina,89.86,90.08
2022-04-06,86,086019,Enna,Valguarnera Caropepe,82.71,83.44
2022-04-06,86,086020,Enna,Villarosa,87.57,86.88
2022-04-06,83,083107,Messina,Acquedolci,83.09,82.49
2022-04-06,83,083001,Messina,Alcara li Fusi,89.56,88.17
2022-04-06,83,083002,Messina,Alì,67.61,62.26
2022-04-06,83,083003,Messina,Alì Terme,71.48,68.64
2022-04-06,83,083004,Messina,Antillo,84.54,82.82
2022-04-06,83,083005,Messina,Barcellona Pozzo di Gotto,87.11,88.47
2022-04-06,83,083006,Messina,Basicò,85.61,86.89
2022-04-06,83,083007,Messina,Brolo,91.76,94.19
2022-04-06,83,083008,Messina,Capizzi,80.30,79.20
2022-04-06,83,083009,Messina,Capo d'Orlando,87.44,87.45
2022-04-06,83,083010,Messina,Capri Leone,85.02,85.28
2022-04-06,83,083011,Messina,Caronia,86.33,84.76
2022-04-06,83,083012,Messina,Casalvecchio Siculo,80.89,77.42
2022-04-06,83,083013,Messina,Castel di Lucio,92.10,89.96
2022-04-06,83,083014,Messina,Castell'Umberto,82.18,80.85
2022-04-06,83,083015,Messina,Castelmola,74.44,73.96
2022-04-06,83,083016,Messina,Castroreale,83.78,83.23
2022-04-06,83,083017,Messina,Cesarò,85.73,81.67
2022-04-06,83,083018,Messina,Condrò,75.95,73.94
2022-04-06,83,083019,Messina,Falcone,85.34,86.26
2022-04-06,83,083020,Messina,Ficarra,89.87,90.02
2022-04-06,83,083021,Messina,Fiumedinisi,62.89,59.62
2022-04-06,83,083022,Messina,Floresta,81.05,78.54
2022-04-06,83,083023,Messina,Fondachelli-Fantina,81.63,82.54
2022-04-06,83,083024,Messina,Forza d'Agrò,78.26,83.31
2022-04-06,83,083025,Messina,Francavilla di Sicilia,84.78,82.58
2022-04-06,83,083026,Messina,Frazzanò,89.46,89.12
2022-04-06,83,083027,Messina,Furci Siculo,75.52,74.45
2022-04-06,83,083028,Messina,Furnari,77.83,78.11
2022-04-06,83,083029,Messina,Gaggi,77.61,74.68
2022-04-06,83,083030,Messina,Galati Mamertino,88.59,86.71
2022-04-06,83,083031,Messina,Gallodoro,78.47,85.84
2022-04-06,83,083032,Messina,Giardini-Naxos,78.60,76.05
2022-04-06,83,083033,Messina,Gioiosa Marea,79.90,80.76
2022-04-06,83,083034,Messina,Graniti,82.93,80.95
2022-04-06,83,083035,Messina,Gualtieri Sicaminò,80.93,79.38
2022-04-06,83,083036,Messina,Itala,66.81,63.69
2022-04-06,83,083037,Messina,Leni,72.77,76.25
