data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-01-26,84,084001,Agrigento,Agrigento,90.66,85.80
2022-01-26,84,084002,Agrigento,Alessandria della Rocca,88.88,84.46
2022-01-26,84,084003,Agrigento,Aragona,90.77,87.52
2022-01-26,84,084004,Agrigento,Bivona,89.32,85.98
2022-01-26,84,084005,Agrigento,Burgio,92.82,90.48
2022-01-26,84,084006,Agrigento,Calamonaci,83.18,80.34
2022-01-26,84,084007,Agrigento,Caltabellotta,87.04,85.21
2022-01-26,84,084008,Agrigento,Camastra,83.60,80.91
2022-01-26,84,084009,Agrigento,Cammarata,88.86,85.70
2022-01-26,84,084010,Agrigento,Campobello di Licata,86.53,81.58
2022-01-26,84,084011,Agrigento,Canicattì,84.23,79.91
2022-01-26,84,084012,Agrigento,Casteltermini,87.39,84.31
2022-01-26,84,084013,Agrigento,Castrofilippo,79.78,78.83
2022-01-26,84,084014,Agrigento,Cattolica Eraclea,84.34,81.01
2022-01-26,84,084015,Agrigento,Cianciana,91.67,87.31
2022-01-26,84,084016,Agrigento,Comitini,92.71,89.31
2022-01-26,84,084017,Agrigento,Favara,88.05,83.91
2022-01-26,84,084018,Agrigento,Grotte,90.14,86.66
2022-01-26,84,084019,Agrigento,Joppolo Giancaxio,86.47,82.21
2022-01-26,84,084020,Agrigento,Lampedusa e Linosa,83.49,78.47
2022-01-26,84,084021,Agrigento,Licata,83.07,77.44
2022-01-26,84,084022,Agrigento,Lucca Sicula,93.22,86.87
2022-01-26,84,084023,Agrigento,Menfi,88.60,84.25
2022-01-26,84,084024,Agrigento,Montallegro,87.66,84.77
2022-01-26,84,084025,Agrigento,Montevago,90.43,86.37
2022-01-26,84,084026,Agrigento,Naro,83.89,80.25
2022-01-26,84,084027,Agrigento,Palma di Montechiaro,76.54,71.71
2022-01-26,84,084028,Agrigento,Porto Empedocle,85.74,81.72
2022-01-26,84,084029,Agrigento,Racalmuto,85.29,82.54
2022-01-26,84,084030,Agrigento,Raffadali,88.59,84.80
2022-01-26,84,084031,Agrigento,Ravanusa,75.67,72.51
2022-01-26,84,084032,Agrigento,Realmonte,87.73,82.49
2022-01-26,84,084033,Agrigento,Ribera,84.60,80.70
2022-01-26,84,084034,Agrigento,Sambuca di Sicilia,92.28,87.64
2022-01-26,84,084035,Agrigento,San Biagio Platani,87.61,83.36
2022-01-26,84,084036,Agrigento,San Giovanni Gemini,87.41,83.90
2022-01-26,84,084037,Agrigento,Santa Elisabetta,89.18,85.32
2022-01-26,84,084038,Agrigento,Santa Margherita di Belice,88.67,84.11
2022-01-26,84,084039,Agrigento,Sant'Angelo Muxaro,83.65,80.54
2022-01-26,84,084040,Agrigento,Santo Stefano Quisquina,90.70,87.00
2022-01-26,84,084041,Agrigento,Sciacca,92.14,90.37
2022-01-26,84,084042,Agrigento,Siculiana,85.80,80.85
2022-01-26,84,084043,Agrigento,Villafranca Sicula,88.70,85.55
2022-01-26,85,085001,Caltanissetta,Acquaviva Platani,92.59,91.44
2022-01-26,85,085002,Caltanissetta,Bompensiere,88.74,86.36
2022-01-26,85,085003,Caltanissetta,Butera,76.10,71.84
2022-01-26,85,085004,Caltanissetta,Caltanissetta,84.82,81.21
2022-01-26,85,085005,Caltanissetta,Campofranco,82.98,83.80
2022-01-26,85,085006,Caltanissetta,Delia,80.75,78.36
2022-01-26,85,085007,Caltanissetta,Gela,76.94,71.33
2022-01-26,85,085008,Caltanissetta,Marianopoli,78.45,70.66
2022-01-26,85,085009,Caltanissetta,Mazzarino,80.74,74.97
2022-01-26,85,085010,Caltanissetta,Milena,91.57,87.87
2022-01-26,85,085011,Caltanissetta,Montedoro,88.66,83.54
2022-01-26,85,085012,Caltanissetta,Mussomeli,87.99,86.53
2022-01-26,85,085013,Caltanissetta,Niscemi,79.63,75.93
