data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-08-24,84,84001,Agrigento,Agrigento,93.21,91.29
2022-08-24,84,84002,Agrigento,Alessandria della Rocca,92.30,90.28
2022-08-24,84,84003,Agrigento,Aragona,93.72,93.34
2022-08-24,84,84004,Agrigento,Bivona,93.24,92.44
2022-08-24,84,84005,Agrigento,Burgio,94.69,94.48
2022-08-24,84,84006,Agrigento,Calamonaci,85.70,85.09
2022-08-24,84,84007,Agrigento,Caltabellotta,91.34,91.02
2022-08-24,84,84008,Agrigento,Camastra,86.14,84.41
2022-08-24,84,84009,Agrigento,Cammarata,91.88,90.77
2022-08-24,84,84010,Agrigento,Campobello di Licata,89.61,87.25
2022-08-24,84,84011,Agrigento,Canicattì,87.41,86.43
2022-08-24,84,84012,Agrigento,Casteltermini,91.08,90.64
2022-08-24,84,84013,Agrigento,Castrofilippo,83.86,84.51
2022-08-24,84,84014,Agrigento,Cattolica Eraclea,87.48,86.26
2022-08-24,84,84015,Agrigento,Cianciana,95.27,94.10
2022-08-24,84,84016,Agrigento,Comitini,94.69,92.21
2022-08-24,84,84017,Agrigento,Favara,90.82,89.22
2022-08-24,84,84018,Agrigento,Grotte,93.99,93.93
2022-08-24,84,84019,Agrigento,Joppolo Giancaxio,91.35,89.09
2022-08-24,84,84020,Agrigento,Lampedusa e Linosa,87.04,86.48
2022-08-24,84,84021,Agrigento,Licata,86.93,85.61
2022-08-24,84,84022,Agrigento,Lucca Sicula,94.45,92.74
2022-08-24,84,84023,Agrigento,Menfi,91.24,90.72
2022-08-24,84,84024,Agrigento,Montallegro,90.07,90.77
2022-08-24,84,84025,Agrigento,Montevago,93.15,92.12
2022-08-24,84,84026,Agrigento,Naro,87.98,86.44
2022-08-24,84,84027,Agrigento,Palma di Montechiaro,79.30,76.58
2022-08-24,84,84028,Agrigento,Porto Empedocle,88.25,86.95
2022-08-24,84,84029,Agrigento,Racalmuto,88.97,88.43
2022-08-24,84,84030,Agrigento,Raffadali,91.07,89.13
2022-08-24,84,84031,Agrigento,Ravanusa,78.64,77.46
2022-08-24,84,84032,Agrigento,Realmonte,89.46,87.20
2022-08-24,84,84033,Agrigento,Ribera,87.59,85.94
2022-08-24,84,84034,Agrigento,Sambuca di Sicilia,95.22,93.84
2022-08-24,84,84035,Agrigento,San Biagio Platani,90.65,88.32
2022-08-24,84,84036,Agrigento,San Giovanni Gemini,89.80,88.47
2022-08-24,84,84037,Agrigento,Santa Elisabetta,93.14,91.35
2022-08-24,84,84038,Agrigento,Santa Margherita di Belice,92.68,91.28
2022-08-24,84,84039,Agrigento,Sant'Angelo Muxaro,87.78,86.54
2022-08-24,84,84040,Agrigento,Santo Stefano Quisquina,93.70,92.61
2022-08-24,84,84041,Agrigento,Sciacca,93.93,95.68
2022-08-24,84,84042,Agrigento,Siculiana,88.97,87.49
2022-08-24,84,84043,Agrigento,Villafranca Sicula,90.92,90.14
2022-08-24,85,85001,Caltanissetta,Acquaviva Platani,96.34,96.22
2022-08-24,85,85002,Caltanissetta,Bompensiere,91.72,89.29
2022-08-24,85,85003,Caltanissetta,Butera,79.73,77.33
2022-08-24,85,85004,Caltanissetta,Caltanissetta,88.68,87.15
2022-08-24,85,85005,Caltanissetta,Campofranco,86.49,89.54
2022-08-24,85,85006,Caltanissetta,Delia,83.88,83.28
2022-08-24,85,85007,Caltanissetta,Gela,80.25,76.77
2022-08-24,85,85008,Caltanissetta,Marianopoli,84.48,80.64
2022-08-24,85,85009,Caltanissetta,Mazzarino,85.22,81.57
2022-08-24,85,85010,Caltanissetta,Milena,95.41,94.01
2022-08-24,85,85011,Caltanissetta,Montedoro,92.94,91.07
2022-08-24,85,85012,Caltanissetta,Mussomeli,91.45,91.52
2022-08-24,85,85013,Caltanissetta,Niscemi,82.20,80.61
2022-08-24,85,85014,Caltanissetta,Resuttano,95.25,101.06
2022-08-24,85,85015,Caltanissetta,Riesi,82.96,82.23
2022-08-24,85,85016,Caltanissetta,San Cataldo,88.70,87.83
2022-08-24,85,85017,Caltanissetta,Santa Caterina Villarmosa,90.66,93.90
2022-08-24,85,85018,Caltanissetta,Serradifalco,90.08,89.24
2022-08-24,85,85019,Caltanissetta,Sommatino,88.05,86.91
2022-08-24,85,85020,Caltanissetta,Sutera,93.97,94.83
2022-08-24,85,85021,Caltanissetta,Vallelunga Pratameno,84.18,85.65
2022-08-24,85,85022,Caltanissetta,Villalba,84.30,87.79
2022-08-24,87,87001,Catania,Aci Bonaccorsi,81.37,78.90
2022-08-24,87,87002,Catania,Aci Castello,78.35,76.18
2022-08-24,87,87003,Catania,Aci Catena,76.78,74.71
2022-08-24,87,87005,Catania,Aci Sant'Antonio,78.90,76.95
2022-08-24,87,87004,Catania,Acireale,81.66,79.51
2022-08-24,87,87006,Catania,Adrano,78.13,75.73
2022-08-24,87,87007,Catania,Belpasso,75.88,73.18
2022-08-24,87,87008,Catania,Biancavilla,82.36,79.82
2022-08-24,87,87009,Catania,Bronte,84.78,82.22
2022-08-24,87,87010,Catania,Calatabiano,84.18,84.28
2022-08-24,87,87011,Catania,Caltagirone,89.18,91.11
2022-08-24,87,87012,Catania,Camporotondo Etneo,70.85,67.43
2022-08-24,87,87013,Catania,Castel di Iudica,79.04,76.66
2022-08-24,87,87014,Catania,Castiglione di Sicilia,87.71,84.16
2022-08-24,87,87015,Catania,Catania,91.68,88.31
2022-08-24,87,87016,Catania,Fiumefreddo di Sicilia,81.81,79.70
2022-08-24,87,87017,Catania,Giarre,83.80,81.04
2022-08-24,87,87018,Catania,Grammichele,84.07,84.68
2022-08-24,87,87019,Catania,Gravina di Catania,74.80,72.30
2022-08-24,87,87020,Catania,Licodia Eubea,86.18,83.58
2022-08-24,87,87021,Catania,Linguaglossa,84.29,82.18
2022-08-24,82,82007,Palermo,Balestrate,89.69,87.97
2022-08-24,87,87057,Catania,Maniace,75.48,72.58
2022-08-24,87,87023,Catania,Mascali,78.41,75.94
2022-08-24,87,87024,Catania,Mascalucia,73.75,70.81
2022-08-24,87,87056,Catania,Mazzarrone,85.20,84.34
2022-08-24,87,87025,Catania,Militello in Val di Catania,81.12,81.45
2022-08-24,87,87026,Catania,Milo,85.10,83.02
2022-08-24,87,87027,Catania,Mineo,79.73,80.62
2022-08-24,87,87028,Catania,Mirabella Imbaccari,87.00,85.63
2022-08-24,87,87029,Catania,Misterbianco,72.94,70.11
2022-08-24,87,87030,Catania,Motta Sant'Anastasia,75.87,73.11
2022-08-24,87,87031,Catania,Nicolosi,73.56,70.58
2022-08-24,87,87032,Catania,Palagonia,76.74,77.67
2022-08-24,87,87033,Catania,Paternò,82.67,79.56
2022-08-24,87,87034,Catania,Pedara,72.71,70.09
2022-08-24,87,87035,Catania,Piedimonte Etneo,79.50,77.50
2022-08-24,87,87036,Catania,Raddusa,84.53,83.00
2022-08-24,87,87058,Catania,Ragalna,67.75,65.92
2022-08-24,87,87037,Catania,Ramacca,81.46,82.21
2022-08-24,87,87038,Catania,Randazzo,83.07,80.47
2022-08-24,87,87039,Catania,Riposto,79.89,77.44
2022-08-24,87,87040,Catania,San Cono,87.08,85.30
2022-08-24,87,87041,Catania,San Giovanni la Punta,77.82,75.57
2022-08-24,87,87042,Catania,San Gregorio di Catania,80.38,78.14
2022-08-24,87,87043,Catania,San Michele di Ganzaria,85.79,84.07
2022-08-24,87,87044,Catania,San Pietro Clarenza,70.49,67.31
2022-08-24,87,87047,Catania,Santa Maria di Licodia,76.32,73.80
2022-08-24,87,87048,Catania,Santa Venerina,79.21,77.06
2022-08-24,87,87045,Catania,Sant'Agata li Battiati,77.63,76.06
2022-08-24,87,87046,Catania,Sant'Alfio,81.82,79.58
2022-08-24,87,87049,Catania,Scordia,86.69,84.66
2022-08-24,87,87050,Catania,Trecastagni,77.08,74.40
2022-08-24,87,87051,Catania,Tremestieri Etneo,76.74,74.22
2022-08-24,87,87052,Catania,Valverde,77.87,75.91
