data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-10-27,84,084001,Agrigento,Agrigento,87.37,84.36
2021-10-27,84,084002,Agrigento,Alessandria della Rocca,84.65,82.72
2021-10-27,84,084003,Agrigento,Aragona,88.61,86.08
2021-10-27,84,084004,Agrigento,Bivona,85.46,83.37
2021-10-27,84,084005,Agrigento,Burgio,89.6,88.12
2021-10-27,84,084006,Agrigento,Calamonaci,80.23,78.36
2021-10-27,84,084007,Agrigento,Caltabellotta,84.86,82.27
2021-10-27,84,084008,Agrigento,Camastra,79.62,76.36
2021-10-27,84,084009,Agrigento,Cammarata,88.06,85.51
2021-10-27,84,084010,Agrigento,Campobello di Licata,84.36,81.98
2021-10-27,84,084011,Agrigento,Canicattì,80.83,77.39
2021-10-27,84,084012,Agrigento,Casteltermini,85.75,83.75
2021-10-27,84,084013,Agrigento,Castrofilippo,79.16,76.19
2021-10-27,84,084014,Agrigento,Cattolica Eraclea,80.45,76.53
2021-10-27,84,084015,Agrigento,Cianciana,87.45,84.98
2021-10-27,84,084016,Agrigento,Comitini,94.5,91.88
2021-10-27,84,084017,Agrigento,Favara,85.95,83.08
2021-10-27,84,084018,Agrigento,Grotte,86.46,84.33
2021-10-27,84,084019,Agrigento,Joppolo Giancaxio,83.22,80.86
2021-10-27,84,084020,Agrigento,Lampedusa e Linosa,80.22,74.35
2021-10-27,84,084021,Agrigento,Licata,75.35,70.53
2021-10-27,84,084022,Agrigento,Lucca Sicula,91.18,88.82
2021-10-27,84,084023,Agrigento,Menfi,84.04,81.04
2021-10-27,84,084024,Agrigento,Montallegro,83.48,81.4
2021-10-27,84,084025,Agrigento,Montevago,87.38,85.17
2021-10-27,84,084026,Agrigento,Naro,80.04,76.58
2021-10-27,84,084027,Agrigento,Palma di Montechiaro,73.9,67.67
2021-10-27,84,084028,Agrigento,Porto Empedocle,82.48,79.27
2021-10-27,84,084029,Agrigento,Racalmuto,83.78,81.36
2021-10-27,84,084030,Agrigento,Raffadali,86.97,84.29
2021-10-27,84,084031,Agrigento,Ravanusa,71.72,68.21
2021-10-27,84,084032,Agrigento,Realmonte,85.66,82.58
2021-10-27,84,084033,Agrigento,Ribera,82.8,80.12
2021-10-27,84,084034,Agrigento,Sambuca di Sicilia,89.87,86.95
2021-10-27,84,084035,Agrigento,San Biagio Platani,84.88,81.23
2021-10-27,84,084036,Agrigento,San Giovanni Gemini,85.55,83.39
2021-10-27,84,084037,Agrigento,Santa Elisabetta,87.06,84.44
2021-10-27,84,084038,Agrigento,Santa Margherita di Belice,85.26,82.55
2021-10-27,84,084039,Agrigento,Sant'Angelo Muxaro,83.24,78.75
2021-10-27,84,084040,Agrigento,Santo Stefano Quisquina,87.74,85.03
2021-10-27,84,084041,Agrigento,Sciacca,91.09,88.93
2021-10-27,84,084042,Agrigento,Siculiana,82.66,80.24
2021-10-27,84,084043,Agrigento,Villafranca Sicula,89.05,86.75
2021-10-27,85,085001,Caltanissetta,Acquaviva Platani,94.61,92.65
2021-10-27,85,085002,Caltanissetta,Bompensiere,89.33,84.31
2021-10-27,85,085003,Caltanissetta,Butera,72.6,68.58
2021-10-27,85,085004,Caltanissetta,Caltanissetta,83.2,79.71
2021-10-27,85,085005,Caltanissetta,Campofranco,80.07,77.26
2021-10-27,85,085006,Caltanissetta,Delia,79.57,75.34
2021-10-27,85,085007,Caltanissetta,Gela,74.98,69.8
2021-10-27,85,085008,Caltanissetta,Marianopoli,69.71,63.11
2021-10-27,85,085009,Caltanissetta,Mazzarino,77.47,72.44
2021-10-27,85,085010,Caltanissetta,Milena,88.5,86.47
2021-10-27,85,085011,Caltanissetta,Montedoro,84.31,81.53
2021-10-27,85,085012,Caltanissetta,Mussomeli,87.94,85.44
2021-10-27,85,085013,Caltanissetta,Niscemi,77.28,72.58
2021-10-27,85,085014,Caltanissetta,Resuttano,88.51,85.71
2021-10-27,85,085015,Caltanissetta,Riesi,75.63,71.3
2021-10-27,85,085016,Caltanissetta,San Cataldo,86.1,82.4
2021-10-27,85,085017,Caltanissetta,Santa Caterina Villarmosa,85.26,81.56
2021-10-27,85,085018,Caltanissetta,Serradifalco,84.14,80.63
2021-10-27,85,085019,Caltanissetta,Sommatino,81.56,78.82
2021-10-27,85,085020,Caltanissetta,Sutera,88.54,87.24
2021-10-27,85,085021,Caltanissetta,Vallelunga Pratameno,76.85,73.16
2021-10-27,85,085022,Caltanissetta,Villalba,79.72,77.36
2021-10-27,87,087001,Catania,Aci Bonaccorsi,74.56,70.52
