data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2021-12-29,84,084001,Agrigento,Agrigento,85.20,83.05
2021-12-29,84,084002,Agrigento,Alessandria della Rocca,82.57,81.04
2021-12-29,84,084003,Agrigento,Aragona,85.06,83.84
2021-12-29,84,084004,Agrigento,Bivona,83.42,82.05
2021-12-29,84,084005,Agrigento,Burgio,87.36,85.91
2021-12-29,84,084006,Agrigento,Calamonaci,78.58,76.39
2021-12-29,84,084007,Agrigento,Caltabellotta,83.04,80.88
2021-12-29,84,084008,Agrigento,Camastra,78.94,76.73
2021-12-29,84,084009,Agrigento,Cammarata,84.42,82.74
2021-12-29,84,084010,Agrigento,Campobello di Licata,81.44,79.31
2021-12-29,84,084011,Agrigento,Canicattì,77.96,75.81
2021-12-29,84,084012,Agrigento,Casteltermini,83.13,81.73
2021-12-29,84,084013,Agrigento,Castrofilippo,76.59,75.73
2021-12-29,84,084014,Agrigento,Cattolica Eraclea,79.95,78.15
2021-12-29,84,084015,Agrigento,Cianciana,85.39,83.11
2021-12-29,84,084016,Agrigento,Comitini,90.57,88.44
2021-12-29,84,084017,Agrigento,Favara,82.23,79.96
2021-12-29,84,084018,Agrigento,Grotte,84.12,83.13
2021-12-29,84,084019,Agrigento,Joppolo Giancaxio,80.76,79.37
2021-12-29,84,084020,Agrigento,Lampedusa e Linosa,78.72,75.41
2021-12-29,84,084021,Agrigento,Licata,75.88,72.35
2021-12-29,84,084022,Agrigento,Lucca Sicula,87.08,84.59
2021-12-29,84,084023,Agrigento,Menfi,82.02,80.18
2021-12-29,84,084024,Agrigento,Montallegro,81.68,80.43
2021-12-29,84,084025,Agrigento,Montevago,84.39,82.63
2021-12-29,84,084026,Agrigento,Naro,79.62,77.82
2021-12-29,84,084027,Agrigento,Palma di Montechiaro,72.78,69.50
2021-12-29,84,084028,Agrigento,Porto Empedocle,80.32,78.38
2021-12-29,84,084029,Agrigento,Racalmuto,80.38,79.40
2021-12-29,84,084030,Agrigento,Raffadali,84.23,81.91
2021-12-29,84,084031,Agrigento,Ravanusa,70.05,67.86
2021-12-29,84,084032,Agrigento,Realmonte,82.92,80.36
2021-12-29,84,084033,Agrigento,Ribera,81.07,78.39
2021-12-29,84,084034,Agrigento,Sambuca di Sicilia,86.55,84.33
2021-12-29,84,084035,Agrigento,San Biagio Platani,83.99,81.04
2021-12-29,84,084036,Agrigento,San Giovanni Gemini,82.38,80.25
2021-12-29,84,084037,Agrigento,Santa Elisabetta,85.41,82.28
2021-12-29,84,084038,Agrigento,Santa Margherita di Belice,83.13,80.50
2021-12-29,84,084039,Agrigento,Sant'Angelo Muxaro,80.91,79.11
2021-12-29,84,084040,Agrigento,Santo Stefano Quisquina,86.51,84.45
2021-12-29,84,084041,Agrigento,Sciacca,87.34,86.89
2021-12-29,84,084042,Agrigento,Siculiana,80.39,78.37
2021-12-29,84,084043,Agrigento,Villafranca Sicula,85.02,83.49
2021-12-29,85,085001,Caltanissetta,Acquaviva Platani,92.15,91.33
2021-12-29,85,085002,Caltanissetta,Bompensiere,88.31,86.90
2021-12-29,85,085003,Caltanissetta,Butera,72.03,68.30
