data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-12-15,84,084001,Agrigento,Agrigento,84.17,82.24
2021-12-15,84,084002,Agrigento,Alessandria della Rocca,81.94,80.14
2021-12-15,84,084003,Agrigento,Aragona,84.43,83.05
2021-12-15,84,084004,Agrigento,Bivona,82.81,81.32
2021-12-15,84,084005,Agrigento,Burgio,86.23,85.18
2021-12-15,84,084006,Agrigento,Calamonaci,77.32,75.80
2021-12-15,84,084007,Agrigento,Caltabellotta,82.60,80.26
2021-12-15,84,084008,Agrigento,Camastra,78.26,75.89
2021-12-15,84,084009,Agrigento,Cammarata,83.73,81.67
2021-12-15,84,084010,Agrigento,Campobello di Licata,80.49,78.73
2021-12-15,84,084011,Agrigento,Canicattì,77.12,75.10
2021-12-15,84,084012,Agrigento,Casteltermini,82.23,81.04
2021-12-15,84,084013,Agrigento,Castrofilippo,75.30,73.74
2021-12-15,84,084014,Agrigento,Cattolica Eraclea,78.79,76.75
2021-12-15,84,084015,Agrigento,Cianciana,84.57,82.34
2021-12-15,84,084016,Agrigento,Comitini,90.09,87.97
2021-12-15,84,084017,Agrigento,Favara,81.48,79.17
2021-12-15,84,084018,Agrigento,Grotte,83.56,82.63
2021-12-15,84,084019,Agrigento,Joppolo Giancaxio,80.11,79.00
2021-12-15,84,084020,Agrigento,Lampedusa e Linosa,77.73,74.67
2021-12-15,84,084021,Agrigento,Licata,74.86,71.45
2021-12-15,84,084022,Agrigento,Lucca Sicula,85.98,84.04
2021-12-15,84,084023,Agrigento,Menfi,81.31,79.30
2021-12-15,84,084024,Agrigento,Montallegro,80.73,79.21
2021-12-15,84,084025,Agrigento,Montevago,83.86,81.96
2021-12-15,84,084026,Agrigento,Naro,78.88,76.94
2021-12-15,84,084027,Agrigento,Palma di Montechiaro,71.88,68.76
2021-12-15,84,084028,Agrigento,Porto Empedocle,79.61,77.51
2021-12-15,84,084029,Agrigento,Racalmuto,79.78,78.67
2021-12-15,84,084030,Agrigento,Raffadali,83.38,81.24
2021-12-15,84,084031,Agrigento,Ravanusa,69.25,67.01
2021-12-15,84,084032,Agrigento,Realmonte,82.09,79.51
2021-12-15,84,084033,Agrigento,Ribera,79.79,77.61
2021-12-15,84,084034,Agrigento,Sambuca di Sicilia,85.60,83.51
2021-12-15,84,084035,Agrigento,San Biagio Platani,83.19,80.55
2021-12-15,84,084036,Agrigento,San Giovanni Gemini,81.53,79.50
2021-12-15,84,084037,Agrigento,Santa Elisabetta,84.51,81.62
2021-12-15,84,084038,Agrigento,Santa Margherita di Belice,81.96,79.97
2021-12-15,84,084039,Agrigento,Sant'Angelo Muxaro,80.22,77.82
2021-12-15,84,084040,Agrigento,Santo Stefano Quisquina,85.90,83.84
2021-12-15,84,084041,Agrigento,Sciacca,86.48,85.85
2021-12-15,84,084042,Agrigento,Siculiana,79.72,78.02
2021-12-15,84,084043,Agrigento,Villafranca Sicula,84.18,82.80
2021-12-15,85,085001,Caltanissetta,Acquaviva Platani,91.57,89.70
2021-12-15,85,085002,Caltanissetta,Bompensiere,87.90,85.48
2021-12-15,85,085003,Caltanissetta,Butera,71.02,67.89
2021-12-15,85,085004,Caltanissetta,Caltanissetta,80.34,78.26
2021-12-15,85,085005,Caltanissetta,Campofranco,78.67,78.81
