data,cod_prov,pro_com_t,provincia,comune,prima_dose,seconda_dose
2022-03-09,84,084001,Agrigento,Agrigento,92.37,90.43
2022-03-09,84,084002,Agrigento,Alessandria della Rocca,89.72,87.76
2022-03-09,84,084003,Agrigento,Aragona,92.14,91.52
2022-03-09,84,084004,Agrigento,Bivona,90.65,89.88
2022-03-09,84,084005,Agrigento,Burgio,93.43,93.15
2022-03-09,84,084006,Agrigento,Calamonaci,83.95,83.43
2022-03-09,84,084007,Agrigento,Caltabellotta,88.54,88.13
2022-03-09,84,084008,Agrigento,Camastra,85.65,83.76
2022-03-09,84,084009,Agrigento,Cammarata,90.56,89.09
2022-03-09,84,084010,Agrigento,Campobello di Licata,88.16,85.50
2022-03-09,84,084011,Agrigento,Canicattì,86.84,85.44
2022-03-09,84,084012,Agrigento,Casteltermini,89.34,88.50
2022-03-09,84,084013,Agrigento,Castrofilippo,81.95,82.15
2022-03-09,84,084014,Agrigento,Cattolica Eraclea,86.00,84.53
2022-03-09,84,084015,Agrigento,Cianciana,92.58,91.51
2022-03-09,84,084016,Agrigento,Comitini,94.24,91.42
2022-03-09,84,084017,Agrigento,Favara,90.02,88.26
2022-03-09,84,084018,Agrigento,Grotte,91.61,91.44
2022-03-09,84,084019,Agrigento,Joppolo Giancaxio,87.51,85.34
2022-03-09,84,084020,Agrigento,Lampedusa e Linosa,86.50,83.77
2022-03-09,84,084021,Agrigento,Licata,85.63,83.93
2022-03-09,84,084022,Agrigento,Lucca Sicula,94.38,92.37
2022-03-09,84,084023,Agrigento,Menfi,90.34,89.56
2022-03-09,84,084024,Agrigento,Montallegro,89.54,89.63
2022-03-09,84,084025,Agrigento,Montevago,92.14,91.30
2022-03-09,84,084026,Agrigento,Naro,86.08,84.11
2022-03-09,84,084027,Agrigento,Palma di Montechiaro,78.43,75.45
2022-03-09,84,084028,Agrigento,Porto Empedocle,87.23,85.81
2022-03-09,84,084029,Agrigento,Racalmuto,87.32,86.43
2022-03-09,84,084030,Agrigento,Raffadali,89.86,87.79
2022-03-09,84,084031,Agrigento,Ravanusa,77.64,76.24
2022-03-09,84,084032,Agrigento,Realmonte,88.97,86.64
2022-03-09,84,084033,Agrigento,Ribera,86.18,84.52
2022-03-09,84,084034,Agrigento,Sambuca di Sicilia,93.35,91.90
2022-03-09,84,084035,Agrigento,San Biagio Platani,88.62,86.13
2022-03-09,84,084036,Agrigento,San Giovanni Gemini,89.04,87.33
2022-03-09,84,084037,Agrigento,Santa Elisabetta,91.47,89.56
2022-03-09,84,084038,Agrigento,Santa Margherita di Belice,90.67,89.06
2022-03-09,84,084039,Agrigento,Sant'Angelo Muxaro,85.64,84.34
2022-03-09,84,084040,Agrigento,Santo Stefano Quisquina,92.04,90.92
2022-03-09,84,084041,Agrigento,Sciacca,93.37,94.92
2022-03-09,84,084042,Agrigento,Siculiana,86.79,85.20
2022-03-09,84,084043,Agrigento,Villafranca Sicula,89.85,88.85
2022-03-09,85,085001,Caltanissetta,Acquaviva Platani,94.21,93.06
2022-03-09,85,085002,Caltanissetta,Bompensiere,89.72,87.15
2022-03-09,85,085003,Caltanissetta,Butera,78.44,75.47
2022-03-09,85,085004,Caltanissetta,Caltanissetta,87.12,85.08
2022-03-09,85,085005,Caltanissetta,Campofranco,84.95,87.66
2022-03-09,85,085006,Caltanissetta,Delia,82.87,81.64
2022-03-09,85,085007,Caltanissetta,Gela,79.09,75.29
2022-03-09,85,085008,Caltanissetta,Marianopoli,81.46,77.53
2022-03-09,85,085009,Caltanissetta,Mazzarino,83.90,79.19
2022-03-09,85,085010,Caltanissetta,Milena,92.90,90.72
2022-03-09,85,085011,Caltanissetta,Montedoro,90.42,88.44
2022-03-09,85,085012,Caltanissetta,Mussomeli,90.34,89.51
2022-03-09,85,085013,Caltanissetta,Niscemi,81.78,79.97
2022-03-09,85,085014,Caltanissetta,Resuttano,91.85,97.09
2022-03-09,85,085015,Caltanissetta,Riesi,81.44,80.08
2022-03-09,85,085016,Caltanissetta,San Cataldo,87.41,86.25
2022-03-09,85,085017,Caltanissetta,Santa Caterina Villarmosa,88.68,91.20
2022-03-09,85,085018,Caltanissetta,Serradifalco,88.07,86.88
2022-03-09,85,085019,Caltanissetta,Sommatino,86.40,84.64
2022-03-09,85,085020,Caltanissetta,Sutera,90.61,90.86
2022-03-09,85,085021,Caltanissetta,Vallelunga Pratameno,82.92,83.79
