data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-11-26,84,084001,Agrigento,Agrigento,88.24,86.15
2021-11-26,84,084002,Agrigento,Alessandria della Rocca,85.02,83.62
2021-11-26,84,084003,Agrigento,Aragona,89.22,87.36
2021-11-26,84,084004,Agrigento,Bivona,86.23,84.24
2021-11-26,84,084005,Agrigento,Burgio,89.77,88.46
2021-11-26,84,084006,Agrigento,Calamonaci,80.94,79.52
2021-11-26,84,084007,Agrigento,Caltabellotta,85.50,83.18
2021-11-26,84,084008,Agrigento,Camastra,81.17,78.35
2021-11-26,84,084009,Agrigento,Cammarata,88.82,86.81
2021-11-26,84,084010,Agrigento,Campobello di Licata,85.11,83.44
2021-11-26,84,084011,Agrigento,Canicattì,82.04,79.86
2021-11-26,84,084012,Agrigento,Casteltermini,86.15,84.72
2021-11-26,84,084013,Agrigento,Castrofilippo,80.04,77.95
2021-11-26,84,084014,Agrigento,Cattolica Eraclea,82.22,79.90
2021-11-26,84,084015,Agrigento,Cianciana,87.62,85.78
2021-11-26,84,084016,Agrigento,Comitini,95.00,92.75
2021-11-26,84,084017,Agrigento,Favara,86.70,84.25
2021-11-26,84,084018,Agrigento,Grotte,87.39,85.84
2021-11-26,84,084019,Agrigento,Joppolo Giancaxio,83.81,81.84
2021-11-26,84,084020,Agrigento,Lampedusa e Linosa,81.00,76.72
2021-11-26,84,084021,Agrigento,Licata,77.10,73.99
2021-11-26,84,084022,Agrigento,Lucca Sicula,91.76,89.48
2021-11-26,84,084023,Agrigento,Menfi,85.28,83.04
2021-11-26,84,084024,Agrigento,Montallegro,84.31,83.06
2021-11-26,84,084025,Agrigento,Montevago,87.97,86.08
2021-11-26,84,084026,Agrigento,Naro,81.64,79.43
2021-11-26,84,084027,Agrigento,Palma di Montechiaro,75.66,72.53
2021-11-26,84,084028,Agrigento,Porto Empedocle,83.28,81.07
2021-11-26,84,084029,Agrigento,Racalmuto,84.54,82.67
2021-11-26,84,084030,Agrigento,Raffadali,87.75,85.55
2021-11-26,84,084031,Agrigento,Ravanusa,73.09,70.48
2021-11-26,84,084032,Agrigento,Realmonte,86.16,84.06
2021-11-26,84,084033,Agrigento,Ribera,83.72,81.76
2021-11-26,84,084034,Agrigento,Sambuca di Sicilia,90.39,87.74
2021-11-26,84,084035,Agrigento,San Biagio Platani,86.30,82.91
2021-11-26,84,084036,Agrigento,San Giovanni Gemini,86.44,84.46
2021-11-26,84,084037,Agrigento,Santa Elisabetta,87.56,85.60
2021-11-26,84,084038,Agrigento,Santa Margherita di Belice,85.90,84.22
2021-11-26,84,084039,Agrigento,Sant'Angelo Muxaro,83.70,82.23
2021-11-26,84,084040,Agrigento,Santo Stefano Quisquina,88.65,86.70
2021-11-26,84,084041,Agrigento,Sciacca,91.68,90.11
2021-11-26,84,084042,Agrigento,Siculiana,83.32,81.54
2021-11-26,84,084043,Agrigento,Villafranca Sicula,89.63,87.74
2021-11-26,85,085001,Caltanissetta,Acquaviva Platani,95.47,93.50
2021-11-26,85,085002,Caltanissetta,Bompensiere,89.96,87.66
2021-11-26,85,085003,Caltanissetta,Butera,73.71,70.84
2021-11-26,85,085004,Caltanissetta,Caltanissetta,84.36,82.11
2021-11-26,85,085005,Caltanissetta,Campofranco,81.03,79.30
2021-11-26,85,085006,Caltanissetta,Delia,80.67,78.17
2021-11-26,85,085007,Caltanissetta,Gela,76.45,72.48
2021-11-26,85,085008,Caltanissetta,Marianopoli,70.74,67.18
2021-11-26,85,085009,Caltanissetta,Mazzarino,78.40,74.25
2021-11-26,85,085010,Caltanissetta,Milena,88.77,87.01
2021-11-26,85,085011,Caltanissetta,Montedoro,84.83,83.11
2021-11-26,85,085012,Caltanissetta,Mussomeli,88.43,87.35
2021-11-26,85,085013,Caltanissetta,Niscemi,78.12,74.71
2021-11-26,85,085014,Caltanissetta,Resuttano,89.40,87.43
2021-11-26,85,085015,Caltanissetta,Riesi,77.23,74.22
2021-11-26,85,085016,Caltanissetta,San Cataldo,87.17,84.74
2021-11-26,85,085017,Caltanissetta,Santa Caterina Villarmosa,85.93,83.17
2021-11-26,85,085018,Caltanissetta,Serradifalco,85.20,82.95
2021-11-26,85,085019,Caltanissetta,Sommatino,82.64,80.59
2021-11-26,85,085020,Caltanissetta,Sutera,88.89,87.59
2021-11-26,85,085021,Caltanissetta,Vallelunga Pratameno,77.50,74.67
