data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-11-10,84,084001,Agrigento,Agrigento,87.77,85.41
2021-11-10,84,084002,Agrigento,Alessandria della Rocca,84.81,83.21
2021-11-10,84,084003,Agrigento,Aragona,88.78,86.90
2021-11-10,84,084004,Agrigento,Bivona,85.81,83.88
2021-11-10,84,084005,Agrigento,Burgio,89.64,88.33
2021-11-10,84,084006,Agrigento,Calamonaci,80.68,78.98
2021-11-10,84,084007,Agrigento,Caltabellotta,85.21,82.82
2021-11-10,84,084008,Agrigento,Camastra,79.90,77.41
2021-11-10,84,084009,Agrigento,Cammarata,88.43,86.26
2021-11-10,84,084010,Agrigento,Campobello di Licata,84.74,82.78
2021-11-10,84,084011,Agrigento,Canicattì,81.40,78.83
2021-11-10,84,084012,Agrigento,Casteltermini,86.05,84.43
2021-11-10,84,084013,Agrigento,Castrofilippo,79.41,77.32
2021-11-10,84,084014,Agrigento,Cattolica Eraclea,81.38,78.91
2021-11-10,84,084015,Agrigento,Cianciana,87.45,85.35
2021-11-10,84,084016,Agrigento,Comitini,94.75,92.38
2021-11-10,84,084017,Agrigento,Favara,86.28,83.67
2021-11-10,84,084018,Agrigento,Grotte,86.72,85.07
2021-11-10,84,084019,Agrigento,Joppolo Giancaxio,83.51,81.26
2021-11-10,84,084020,Agrigento,Lampedusa e Linosa,80.60,75.67
2021-11-10,84,084021,Agrigento,Licata,76.23,72.74
2021-11-10,84,084022,Agrigento,Lucca Sicula,91.63,89.02
2021-11-10,84,084023,Agrigento,Menfi,84.65,82.25
2021-11-10,84,084024,Agrigento,Montallegro,83.76,82.19
2021-11-10,84,084025,Agrigento,Montevago,87.50,86.00
2021-11-10,84,084026,Agrigento,Naro,80.64,78.47
2021-11-10,84,084027,Agrigento,Palma di Montechiaro,74.75,71.09
2021-11-10,84,084028,Agrigento,Porto Empedocle,82.83,80.40
2021-11-10,84,084029,Agrigento,Racalmuto,84.01,82.17
2021-11-10,84,084030,Agrigento,Raffadali,87.43,85.20
2021-11-10,84,084031,Agrigento,Ravanusa,72.35,69.54
2021-11-10,84,084032,Agrigento,Realmonte,85.83,83.60
2021-11-10,84,084033,Agrigento,Ribera,83.32,81.13
2021-11-10,84,084034,Agrigento,Sambuca di Sicilia,90.13,87.41
2021-11-10,84,084035,Agrigento,San Biagio Platani,85.14,81.59
2021-11-10,84,084036,Agrigento,San Giovanni Gemini,85.92,83.97
2021-11-10,84,084039,Agrigento,Sant'Angelo Muxaro,83.70,81.87
2021-11-10,84,084037,Agrigento,Santa Elisabetta,87.41,85.05
2021-11-10,84,084038,Agrigento,Santa Margherita di Belice,85.64,83.52
2021-11-10,84,084040,Agrigento,Santo Stefano Quisquina,87.99,86.04
2021-11-10,84,084041,Agrigento,Sciacca,91.37,89.60
2021-11-10,84,084042,Agrigento,Siculiana,82.92,80.97
2021-11-10,84,084043,Agrigento,Villafranca Sicula,89.47,87.33
2021-11-10,85,085001,Caltanissetta,Acquaviva Platani,94.98,92.89
2021-11-10,85,085002,Caltanissetta,Bompensiere,89.54,85.36
2021-11-10,85,085003,Caltanissetta,Butera,72.94,69.84
2021-11-10,85,085004,Caltanissetta,Caltanissetta,83.70,81.10
2021-11-10,85,085005,Caltanissetta,Campofranco,80.45,77.76
2021-11-10,85,085006,Caltanissetta,Delia,80.13,77.72
2021-11-10,85,085007,Caltanissetta,Gela,75.75,71.50
2021-11-10,85,085008,Caltanissetta,Marianopoli,70.55,66.21
2021-11-10,85,085009,Caltanissetta,Mazzarino,77.82,73.48
2021-11-10,85,085010,Caltanissetta,Milena,88.65,86.66
2021-11-10,85,085011,Caltanissetta,Montedoro,84.38,82.21
2021-11-10,85,085012,Caltanissetta,Mussomeli,88.20,86.28
2021-11-10,85,085013,Caltanissetta,Niscemi,77.64,73.78
2021-11-10,85,085014,Caltanissetta,Resuttano,89.16,87.02
2021-11-10,85,085015,Caltanissetta,Riesi,76.39,73.11
2021-11-10,85,085016,Caltanissetta,San Cataldo,86.58,83.83
2021-11-10,85,085017,Caltanissetta,Santa Caterina Villarmosa,85.73,82.92
2021-11-10,85,085018,Caltanissetta,Serradifalco,84.51,82.03
2021-11-10,85,085019,Caltanissetta,Sommatino,82.00,79.54
2021-11-10,85,085020,Caltanissetta,Sutera,88.72,87.41
2021-11-10,85,085021,Caltanissetta,Vallelunga Pratameno,77.03,74.12
